SampleID,Isdrillhol,SiO2_4AES_,TiO2_4AES_,Al2O3_4AES,Fe2O3_4AES,MnO_4AES_p,MgO_4AES_p,CaO_4AES_p,Na2O_4AES_,K2O_4AES_p,P2O5_4AES_,Cr2O3_4AES,TOT_C_4AES,TOT_S_4AES,LOI_4AES_p,Sum_4AES_p,Ba_4AES_pp,Cu_1DXMS_p,Pb_1DXMS_p,Zn_1DXMS_p,Ag_1DXMS_p,Au_1DXMS_p,As_1DXMS_p,Sb_1DXMS_p,Bi_1DXMS_p,Cd_1DXMS_p,Hg_1DXMS_p,Tl_1DXMS_p,Se_1DXMS_p,V_4AES_ppm,Ni_1DXMS_p,Co_4AES_pp,Sc_4AES_pp,Rb_4AES_pp,Sr_4AES_pp,Cs_4AES_pp,Sn_4AES_pp,W_4AES_ppm,Mo_1DXMS_p,Ga_4AES_pp,Be_4AES_pp,U_4AES_ppm,Hf_4AES_pp,Ta_4AES_pp,Th_4AES_pp,Nb_4AES_pp,Y_4AES_ppm,Zr_4AES_pp,La_4AES_pp,Ce_4AES_pp,Pr_4AES_pp,Nd_4AES_pp,Sm_4AES_pp,Eu_4AES_pp,Gd_4AES_pp,Tb_4AES_pp,Dy_4AES_pp,Ho_4AES_pp,Er_4AES_pp,Tm_4AES_pp,Yb_4AES_pp,Lu_4AES_pp,Wgt_4AES_k
93D0181,N,64.2,0.522,14.06,5.59,0.1,3.85,4.5,5.6,0.35,0.135,0.032,<0.02,<0.02,0.9,99.88,33,23.1,2.1,26,0.1,1.9,<0.5,0.1,<0.1,<0.1,<0.01,<0.1,<0.5,76,51.6,19,13,9.8,74.9,0.6,1,<0.5,0.5,18.7,1,0.7,3.7,0.5,3.1,6,14.8,140.7,16.4,36.3,4.12,16.7,3.21,0.8,2.99,0.49,2.78,0.52,1.52,0.23,1.54,0.24,0.79
93D0267,N,61.36,0.601,15.98,6.44,0.1,3.42,6.93,1.92,1.76,0.139,0.007,<0.02,<0.02,1.1,99.8,226,34.5,2.9,60,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,0.2,0.5,115,37.6,21.1,18,86.8,243.8,3.7,2,<0.5,0.5,18.1,<1,0.8,4.7,0.5,3.6,6.7,20.1,174.9,20.2,45.1,5.3,20.8,3.97,1.13,3.58,0.58,3.32,0.67,1.98,0.32,1.94,0.32,0.92
92J0683,N,63.34,0.562,14.82,5.43,0.08,3.93,3.61,5.29,1,0.125,0.023,0.07,<0.02,1.6,99.81,252,50.3,1.6,50,<0.1,<0.5,<0.5,0.1,<0.1,<0.1,<0.01,<0.1,<0.5,99,72.1,20.7,14,26.5,364.4,0.6,1,0.7,<0.1,16.7,<1,0.5,3.2,0.3,2,4.2,11.8,115.5,10.1,22.4,2.74,10.2,2.25,0.73,2.06,0.34,1.87,0.4,1.2,0.19,1.12,0.18,0.5
93D0007,N,62.83,0.56,14.75,5.94,0.13,4.57,4.52,5.31,0.33,0.131,0.037,<0.02,<0.02,0.8,99.87,73,17.6,1.4,24,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,90,44.8,20.8,15,14,140.6,0.7,2,<0.5,0.3,18.7,<1,0.8,4.1,0.5,3.2,6.4,17.1,151.3,16.3,36.2,4.42,18.3,3.51,0.86,3.15,0.52,2.95,0.6,1.65,0.27,1.68,0.25,0.61
85J0332,N,48.11,0.17,4.44,30.12,0.03,0.19,0.12,0.07,1.37,0.037,0.012,0.26,20.01,15,99.7,255,1011.6,41.3,509,0.9,41.4,45.1,0.1,2.5,1.5,0.01,<0.1,21.9,90,123.7,135.6,14,25,6.6,0.5,13,4.3,18.7,18.2,<1,0.6,1.1,0.1,1.1,1.8,8,44.4,6,14.6,1.7,6.7,1.53,0.95,1.51,0.26,1.49,0.3,1,0.14,1.14,0.19,0.75
92J0638,N,61.57,0.618,15.83,5.71,0.07,2.66,3.22,3.37,2.28,0.134,0.003,0.56,<0.02,4.4,99.83,449,7.6,1,60,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,108,38.9,17.6,13,67.1,68.4,1.3,1,<0.5,<0.1,18,<1,0.6,3.7,0.5,2.4,5.6,13.2,139.6,10.6,24.3,2.97,11.7,2.55,0.79,2.43,0.44,2.23,0.48,1.35,0.22,1.23,0.23,0.69
93D0060,N,63.71,0.515,13.18,6.02,0.09,5.66,3.95,1.07,2.84,0.117,0.03,0.04,<0.02,2.6,99.75,751,16.5,2.4,58,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,0.1,<0.5,81,92.9,20.4,13,132.7,363.2,4.7,2,<0.5,0.8,17.1,<1,0.7,4.1,0.4,2.5,5.9,15,135.7,15.7,35.3,4.09,17.3,3.1,0.8,2.88,0.46,2.55,0.49,1.51,0.22,1.4,0.23,0.41
76J0133,N,64.38,0.534,13.64,8.69,0.15,1.93,5.61,1.84,0.76,0.121,0.008,0.15,1.44,2.2,99.83,185,48.1,3.4,178,<0.1,0.8,12.7,<0.1,<0.1,0.4,<0.01,<0.1,0.6,80,31.2,17.1,13,25.2,256.4,0.6,2,0.6,0.9,16.7,1,0.7,3.7,0.4,2.7,5.2,14.7,135.9,15.5,33.5,4.1,16.4,3.11,0.92,2.86,0.46,2.56,0.52,1.52,0.23,1.43,0.22,1.33
93D0257,N,64.84,0.598,14.92,5.11,0.06,3.3,4.4,2.94,1.46,0.198,0.007,0.05,0.03,2,99.79,294,36.4,2.3,69,<0.1,<0.5,<0.5,<0.1,0.1,<0.1,<0.01,<0.1,<0.5,107,48.9,20.1,18,63.8,254.4,3.9,<1,<0.5,2.9,14.3,1,0.8,4.1,0.4,3.2,6,19.2,155.8,19.6,42.8,4.88,19.2,3.59,0.83,3.25,0.55,2.92,0.62,1.86,0.28,1.84,0.31,0.5
93D0175,N,65.55,0.6,14.88,5.97,0.11,3.42,1.78,4.91,0.46,0.135,0.005,0.04,<0.02,2.1,99.86,101,18,2,82,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,85,39.9,17.7,17,14.7,118,0.4,2,<0.5,0.2,12.7,<1,0.8,4.3,0.5,3.6,6.5,19.6,172.7,19.2,41.6,4.99,20,3.71,0.96,3.56,0.52,3.37,0.67,1.96,0.28,2.04,0.33,0.92
83J0288,N,59.92,0.674,16.46,6.36,0.11,2.99,6.43,4.31,0.55,0.134,0.01,0.03,<0.02,1.9,99.85,81,46.6,1,27,<0.1,1.4,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,108,24.4,19.6,12,12.7,208,0.7,1,<0.5,0.6,17.9,<1,0.6,4.2,0.6,2,6.5,12.5,141.8,14.5,31.4,3.7,13.8,3.1,0.94,2.79,0.42,2.4,0.46,1.25,0.2,1.22,0.19,0.86
76J0474,N,44.3,0.371,8.96,35.23,0.17,4.08,0.89,0.02,0.83,0.23,0.003,0.06,1.79,4.7,99.75,382,151.1,3.4,195,0.3,19.6,1.3,<0.1,0.7,0.1,0.01,<0.1,3.6,73,18.3,26.2,8,18.1,85.6,0.4,3,1.3,5.3,14.3,<1,0.4,2.8,0.3,1.9,3.4,14.7,100.7,8.4,19.8,2.34,9.7,1.93,1.07,2.05,0.38,2.11,0.51,1.47,0.26,1.47,0.27,0.65
93D0125,N,68.05,0.557,13.34,5.39,0.08,3.68,1.07,4.61,0.62,0.115,0.007,0.04,<0.02,2.3,99.88,117,3.3,1.8,70,<0.1,<0.5,0.5,0.1,<0.1,<0.1,<0.01,<0.1,<0.5,94,39.9,17.1,15,16.1,141.5,0.6,1,<0.5,<0.1,14.3,<1,1,3.5,0.4,3.3,5.7,14.2,135.9,17.9,39.1,4.5,17.4,3.29,0.79,2.79,0.44,2.6,0.52,1.58,0.25,1.69,0.26,0.67
93D0343,N,60.1,0.706,15.6,6.99,0.11,4.13,4.48,3.41,1.74,0.157,0.011,0.29,<0.02,2.3,99.77,400,42.1,2.7,70,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,0.2,0.5,128,73.1,24.5,17,66.6,238.5,6.5,1,<0.5,0.4,17.5,<1,0.8,4.5,0.5,3.3,7.1,17.6,150,17.1,37.6,4.44,18.5,3.35,0.93,3.09,0.52,2.93,0.6,1.74,0.26,1.66,0.27,0.48
MCD15-02,N,67.36,0.659,13.5,3.64,0.11,0.86,3.23,1.26,3.28,0.153,<0.002,1.31,<0.02,5.8,99.86,690,21.9,0.7,29,<0.1,1.3,8.3,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,33,1.1,7,12,75.5,52.3,1.3,1,<0.5,3,17.6,<1,0.7,6.9,0.7,2.9,8.7,31.9,243.5,25.5,60.9,7.31,29.4,5.62,1.63,5.36,0.92,5.2,1.1,3.2,0.48,3.3,0.49,0.69
83J0324,N,61.32,0.76,15.5,6.72,0.12,3.04,5.89,4.12,0.6,0.191,0.014,0.02,<0.02,1.5,99.79,119,43.3,0.7,41,<0.1,1,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,109,26.9,25,14,13.8,456.8,0.4,1,<0.5,1,18.8,<1,0.4,4.1,0.6,1.9,8.3,14.5,163.7,17.8,41.7,4.72,18.9,3.86,1.15,3.48,0.54,2.82,0.51,1.39,0.23,1.35,0.19,0.71
73J1638,N,62.34,0.771,15.29,6.35,0.03,2.19,4.87,2.61,1.43,0.168,0.003,0.05,2.44,3.7,99.79,359,16.3,2.6,25,<0.1,0.6,6.9,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,105,20.6,14.3,13,34.4,391.4,0.7,2,1.2,1.9,18,<1,0.9,5.6,0.8,4.4,10.8,24.6,194.6,27.6,62.7,7.57,29.9,5.61,1.3,5.03,0.84,4.34,0.92,2.67,0.41,2.64,0.41,0.36
73J1634,N,65.94,0.742,14.43,5.89,0.09,2.3,4.11,2.73,1.22,0.175,0.005,0.07,0.03,2.2,99.81,401,14.3,1.2,30,<0.1,<0.5,2,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,99,20.2,10.5,13,25.8,221,0.8,3,0.8,0.9,15.9,<1,1,5.4,0.8,4,10.5,25.1,183.9,26.2,58.9,7.16,28.5,5.39,1.15,4.9,0.78,4.33,0.91,2.67,0.41,2.61,0.41,0.61
73S0472,N,67.19,0.731,13.7,4.6,0.11,2.12,2.97,6.07,0.42,0.193,0.004,0.08,<0.02,1.7,99.82,198,31.1,2.5,45,<0.1,1,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,72,42,12.8,13,8.1,161.9,0.2,2,<0.5,0.2,15.9,1,1.2,7.9,1,4.8,13.2,46.9,281,28.3,77.6,9.69,37.6,7.74,1.3,7.93,1.37,7.88,1.63,4.65,0.7,4.45,0.64,0.59
83J0201,N,65.55,0.751,13.59,8.21,0.14,1.44,3.77,3.86,0.35,0.258,<0.002,0.04,<0.02,1.9,99.83,217,1.2,0.5,79,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,<8,0.7,5.8,17,8.7,296.2,0.3,1,<0.5,0.3,19.4,<1,0.5,6.1,0.6,2,8.7,41.9,238.2,23.9,60.9,8.18,35.7,7.35,2.42,7.05,1.2,6.98,1.43,4.23,0.68,4.17,0.65,0.92
73J1645,N,62.74,0.944,17.07,4.63,0.04,2.5,3.39,2.73,2.28,0.235,0.007,0.03,0.64,3.2,99.76,574,7.4,1.6,23,<0.1,<0.5,24.7,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,132,33.3,30,17,51.9,256.8,1,3,0.9,1.6,20.2,1,1.1,6.4,0.9,5,14.4,29.7,228.7,34.6,79.8,9.45,35.6,7.24,1.55,6.45,1.04,5.63,1.14,3.3,0.51,3.09,0.49,0.38
83J0290,N,65.59,0.875,15.42,4.6,0.07,2.42,5.07,3.6,0.86,0.212,0.012,0.04,<0.02,1.1,99.84,161,27,0.9,34,<0.1,0.6,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,101,23.7,15.9,11,20.7,148.4,1,2,<0.5,0.2,21.2,<1,0.5,4.8,0.7,1.9,10.3,15,178.3,17.3,39.2,4.77,18.4,3.99,1.23,3.57,0.55,2.75,0.52,1.34,0.2,1.3,0.19,0.98
92J0301,N,62.03,0.931,15.77,6.65,0.11,2.51,6.92,3.86,0.43,0.233,0.007,0.04,<0.02,0.3,99.77,68,42.6,1.7,25,<0.1,1.8,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,163,15,21.8,18,12.3,630.7,0.5,2,0.7,0.8,18.1,<1,0.9,5.7,0.6,3.5,9.1,22.1,204.2,21.2,51.4,5.78,23.4,4.46,1.15,4.31,0.68,3.99,0.77,2.15,0.34,2.29,0.35,0.54
73J1651,N,60.42,0.888,14.99,7.6,0.09,3.29,7.29,2.44,1.15,0.209,0.01,0.02,<0.02,1.4,99.79,289,16.1,0.9,26,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,125,26.9,19.2,17,30.8,268.5,0.6,2,<0.5,1.1,18.4,<1,0.7,4.8,0.8,3.5,10.9,28.6,183,23.4,55,6.63,26,5.63,1.39,5.58,0.94,5.09,1.05,3.02,0.48,2.94,0.44,0.77
73J1668,N,66.36,0.994,16.73,4.03,0.08,0.75,3.97,3.98,2.06,0.267,0.011,0.04,<0.02,0.6,99.84,345,27.2,1.5,21,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,136,10.7,6.9,18,40.7,217.5,1.5,2,0.9,0.4,19.8,1,0.8,5.8,0.9,3.5,12.9,27.2,203.6,28.1,67.7,8.41,32.4,6.58,1.58,5.93,0.96,5.44,0.97,2.72,0.42,2.59,0.38,0.54
73J1665,N,65.48,0.905,14.32,6.44,0.1,1.84,4.38,3.75,1.15,0.208,0.017,0.05,0.02,1.2,99.81,335,29.3,1.3,55,<0.1,0.6,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,111,17.1,15.6,15,31.2,208.7,0.8,2,<0.5,3.1,16.8,1,0.7,5.5,0.7,3,11.4,26.3,186.6,23.6,52.9,6.52,27.2,5.24,1.31,5.13,0.83,4.82,0.93,2.67,0.39,2.48,0.38,0.98
92J0292,N,65.83,0.957,14.35,7.22,0.12,1.95,3.01,4.82,0.7,0.258,<0.002,0.02,<0.02,0.6,99.83,180,9.2,1,44,<0.1,0.7,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,137,9.8,21.6,17,29.1,100,1.3,<1,<0.5,0.5,17.1,<1,1.1,6,0.8,4.1,10,24.4,225.6,31.6,64.2,6.6,25.1,4.97,1.19,4.75,0.81,4.37,0.88,2.57,0.4,2.58,0.4,0.37
73J1404,N,63.6,0.484,15.9,6.19,0.03,1.94,4.27,4.89,0.33,0.1,0.005,0.05,<0.02,2.1,99.85,72,4.5,1.3,27,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,96,28.1,12.9,10,8.2,396.2,0.1,<1,0.6,0.3,21.2,<1,0.4,2.6,0.2,1.3,2.8,8,91.1,11.6,22.8,2.64,10.2,1.94,0.69,1.78,0.27,1.37,0.28,0.8,0.12,0.8,0.12,0.4
76J0779,N,55.54,0.467,14.81,8.13,0.12,7.03,6.88,3.55,0.64,0.071,0.083,0.04,<0.02,2.4,99.76,150,30.8,1.3,42,<0.1,1,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,139,89.5,36.5,23,11.6,306.5,0.2,<1,<0.5,0.2,15.4,<1,0.2,1.7,<0.1,0.7,1.5,7.5,61.4,5.4,13.2,1.66,7.1,1.49,0.48,1.47,0.18,1.32,0.22,0.77,0.05,0.78,0.06,0.95
03-MGH-0201B1,N,63.39,0.512,16.19,4.97,0.07,2.82,3.83,4.37,1.76,0.113,0.015,<0.02,<0.02,1.8,99.79,570,10.1,3.2,60,<0.1,0.8,10.4,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,94,52.8,26.2,15,36.4,238.7,1.6,<1,0.6,0.5,16.8,<1,0.8,3.9,0.5,3.1,5.6,15.3,137.6,13.3,29.5,3.34,12.5,2.69,0.78,2.63,0.45,2.55,0.51,1.48,0.23,1.61,0.23,0.66
TI1977,N,62.12,0.518,16.37,5.33,0.09,3.56,2.55,6.56,0.67,0.123,0.008,0.07,<0.02,2,99.84,171,35.5,1.5,33,<0.1,<0.5,8.8,<0.1,0.2,<0.1,<0.01,<0.1,<0.5,109,37.4,15.8,15,15.9,123.4,0.5,1,<0.5,0.2,15.7,<1,0.9,3.5,0.5,2.8,5.7,15.4,125.1,15.4,33.4,3.8,15.3,2.91,0.82,2.8,0.46,2.67,0.54,1.62,0.26,1.66,0.26,0.54
93D0406,N,57.6,0.532,16.44,7.23,0.13,4.82,5.78,3.96,1.76,0.105,0.02,0.02,0.02,1.3,99.74,543,31.2,2.5,39,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,0.5,114,57.5,28.4,19,69.1,422.6,2.6,<1,<0.5,0.4,15.5,<1,0.5,2.7,0.3,1.9,3.5,10.9,95.3,11.2,23.3,2.78,11.6,2.16,0.7,2.11,0.33,1.86,0.38,1.1,0.17,1.14,0.17,1.28
03-MGH-0154A,N,64.47,0.495,15.18,5.67,0.1,2.71,6.1,3.03,0.67,0.117,0.013,0.09,<0.02,1.3,99.85,138,27.7,3.7,41,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,84,28.4,15.5,13,19.8,197.1,1.3,<1,<0.5,2,16.7,<1,0.6,3.5,0.5,2.6,5.6,15.4,141.8,13.3,28.2,3.24,12.7,2.77,0.77,2.73,0.45,2.45,0.51,1.48,0.24,1.63,0.25,0.62
92J0665,N,55.3,0.452,13.49,7.73,0.11,7.09,4.84,3.52,0.03,0.103,0.078,0.93,<0.02,7,99.8,22,11.3,0.8,76,<0.1,<0.5,0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,104,248.3,35.4,17,0.9,127.2,<0.1,1,<0.5,<0.1,14.3,<1,0.4,2.6,0.3,1.4,3.2,10.2,88.3,9.1,20.7,2.49,9.6,2.11,0.73,2.04,0.34,1.84,0.39,1.09,0.19,1,0.19,0.93
92J0396,N,50.31,0.496,14.79,7.81,0.12,8.58,5.38,2.6,1.48,0.088,0.064,0.97,<0.02,8,99.73,286,15.3,1.7,72,<0.1,<0.5,<0.5,<0.1,<0.1,0.1,<0.01,<0.1,<0.5,129,206.4,39.3,20,62.4,185.5,1.4,<1,<0.5,0.6,20.6,<1,0.4,2.3,0.3,1.4,2.8,9.4,83.9,7.4,16.5,2.05,8,1.85,0.6,1.76,0.29,1.66,0.34,0.99,0.16,0.99,0.17,1.06
SM09005,N,63.17,0.537,15.98,5.94,0.08,2.81,1.95,5.53,1.57,0.124,0.011,0.06,0.04,2.1,99.83,274,30.2,5.7,104,<0.1,1.3,1.7,<0.1,0.1,0.3,<0.01,<0.1,<0.5,92,38,21.2,14,33.1,129.6,0.8,1,1.5,3.9,16.3,<1,0.7,3.2,0.5,2.7,5.4,16,132.4,14.2,30.4,3.6,15,2.95,0.8,2.95,0.48,2.73,0.56,1.62,0.26,1.64,0.25,1.11
TI0176,N,53.5,0.539,15.89,6.28,0.08,3.79,5.84,1.89,1.22,0.102,0.011,2.01,<0.02,10.7,99.83,151,19,1,87,<0.1,1.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,97,56.6,26.4,15,43,204.8,1.3,1,<0.5,0.3,15.3,<1,0.6,3.2,0.5,2.3,5.2,15.6,120.5,15.2,33.7,3.72,15.2,2.81,0.84,2.79,0.45,2.68,0.5,1.52,0.26,1.61,0.25,0.75
93D0030,N,61.03,0.512,15.09,6.19,0.07,1.23,10.07,2.6,1.18,0.123,0.005,0.14,0.27,1.8,99.88,200,12.8,1.5,9,<0.1,0.8,<0.5,0.1,0.2,<0.1,<0.01,<0.1,<0.5,126,10.2,11.2,13,29.9,557.7,0.7,2,0.6,0.1,19.8,<1,0.6,1.8,0.3,0.9,3.5,10.5,69.1,15,33.1,3.81,15.8,2.65,0.79,2.26,0.34,1.79,0.36,0.99,0.14,1.02,0.16,0.66
92J0811,N,57.89,0.51,14.51,6.68,0.1,6.33,3.45,4.6,0.09,0.101,0.048,0.64,<0.02,5.5,99.82,60,4.3,0.8,66,<0.1,2.9,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,103,175.6,23.6,18,2.7,153.9,0.2,<1,<0.5,<0.1,14.1,<1,0.5,2.6,0.3,1.9,3.2,9.9,97.6,8.7,20,2.32,9.2,2.05,0.61,1.89,0.32,1.82,0.35,1.02,0.15,1.11,0.16,0.7
93D0281,N,57.76,0.615,17.39,6.46,0.11,4.71,4.72,4.1,1.24,0.133,0.022,<0.02,<0.02,2.5,99.78,373,33.4,1,52,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,135,86.8,25.6,18,47.2,250.1,1.6,<1,0.6,0.6,17.8,<1,0.6,3.2,0.4,2.3,4.7,13.4,109.6,13.1,27.9,3.37,13.1,2.68,0.89,2.55,0.42,2.28,0.46,1.34,0.21,1.31,0.21,0.53
03-MGH-0181B,N,59.49,0.525,14.83,10.43,0.32,2.78,6.19,1.96,0.95,0.134,0.013,0.07,0.25,2.2,99.8,203,46.2,5.2,102,<0.1,4.3,0.7,<0.1,<0.1,0.2,<0.01,0.1,<0.5,93,38.1,18.6,14,34.4,242.4,2.8,1,0.6,0.8,15.9,<1,0.7,3.3,0.5,2.1,5.8,16.8,131.4,14.1,30,3.51,14.1,2.94,0.89,2.82,0.49,2.72,0.57,1.7,0.26,1.66,0.27,0.95
92J0565,N,60.33,0.536,14.88,6.31,0.08,5.39,3.56,4.13,1.31,0.105,0.029,0.15,<0.02,3.1,99.8,306,5.7,1,49,<0.1,<0.5,<0.5,0.1,<0.1,<0.1,<0.01,<0.1,<0.5,97,100.3,25.3,15,35.2,187.8,1,<1,<0.5,0.2,15.8,<1,0.5,2.9,0.3,2,3.4,9.7,101.2,9.9,21.9,2.55,9.8,2.12,0.65,2,0.31,1.56,0.34,0.98,0.15,0.99,0.16,0.38
93D0474,N,58.45,0.544,15.07,7.11,0.1,6.79,5.08,2.35,1.44,0.116,0.06,<0.02,<0.02,2.6,99.76,265,37.9,1.2,48,<0.1,<0.5,1.1,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,122,141.4,33.8,21,53.3,228.6,1.5,<1,<0.5,0.3,15.1,<1,0.6,2.9,0.4,2.4,4.5,11.5,105.9,12.7,27.4,3.15,12,2.44,0.69,2.17,0.36,1.95,0.4,1.17,0.17,1.19,0.18,0.49
00-CMV-252A,N,60.71,0.564,15.48,4.75,0.06,2.72,4.84,4,1.72,0.145,0.026,0.83,0.11,4.7,99.74,597,33.2,5.5,61,<0.1,<0.5,22.4,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,89,71.1,17,12,45,456,5.6,<1,0.8,0.3,18.4,1,0.6,3.1,0.2,2,3.6,12,110.3,19,42.4,5.15,20.4,3.77,1.09,2.89,0.44,2.04,0.42,1.16,0.18,1.03,0.16,0.76
92J0822,N,62.89,0.464,12.69,5.75,0.09,6.46,2.56,3.74,0.38,0.095,0.056,0.37,0.04,4.6,99.81,138,63,3.4,57,<0.1,1.9,0.9,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,97,184.7,31.1,18,7.9,153.5,0.4,<1,<0.5,0.4,11.7,<1,0.3,1.8,0.2,1.2,2.6,8.5,76.8,7.6,18,2.05,8.5,1.82,0.58,1.76,0.29,1.55,0.31,0.87,0.14,1.01,0.14,0.77
92J0440,N,59.29,0.569,15.33,7.71,0.14,5.17,5.42,3.02,0.11,0.114,0.016,0.04,<0.02,2.9,99.83,51,3.2,0.6,58,<0.1,0.5,3.2,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,133,86.3,32.8,29,3.2,197.3,0.2,<1,<0.5,0.4,13.1,<1,0.3,2.4,0.3,1.2,4.1,14.5,85.8,8.4,19.4,2.47,10.6,2.39,0.68,2.43,0.41,2.35,0.52,1.48,0.24,1.63,0.26,0.79
73J1154,N,59.76,0.659,17.43,7.23,0.06,2.74,2.98,5.49,0.6,0.142,0.009,0.11,<0.02,2.7,99.84,101,12.1,1,39,<0.1,<0.5,0.6,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,117,41.5,17.3,12,14.6,316.2,0.2,<1,<0.5,0.2,22.1,<1,0.3,2.5,0.2,1.3,2.8,6.8,82.9,12.6,27.4,3.14,12,2.19,0.85,1.83,0.26,1.31,0.24,0.66,0.1,0.66,0.09,0.65
TI0087,N,55.94,0.556,14.62,4.72,0.08,2.67,6.02,1.14,3.46,0.094,0.013,2.41,0.16,10.5,99.84,407,63,1.2,29,<0.1,8.1,162.9,0.3,<0.1,<0.1,<0.01,<0.1,<0.5,101,59.8,18.1,15,100.9,107,3.2,<1,14.7,0.3,15.6,<1,0.4,3.3,0.4,1.5,4.6,12,115.4,12.1,26.4,2.99,11.1,2.17,0.64,2.08,0.36,2.09,0.41,1.21,0.19,1.25,0.19,0.56
92J0436,N,57.79,0.569,14.95,7.86,0.13,6.04,5.94,2.45,1.05,0.095,0.027,0.1,<0.02,2.9,99.78,225,8,0.9,54,<0.1,<0.5,0.6,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,125,90.3,32.2,20,37.7,222.6,1.1,1,<0.5,0.4,15.6,<1,0.7,2.9,0.3,2.2,3.9,12.3,105.3,10.7,22.8,2.68,10.5,2.23,0.67,2.23,0.38,2.07,0.42,1.22,0.2,1.28,0.19,0.77
92J0699,N,57.06,0.642,16.8,7.19,0.1,4.35,6.32,3.59,1.15,0.124,0.005,0.07,0.35,2.5,99.79,283,58.3,18.9,45,0.2,<0.5,<0.5,0.2,0.3,0.2,<0.01,<0.1,<0.5,153,56.4,29.1,18,45.9,242.6,2.6,1,1.4,0.3,17,<1,0.7,3.6,0.3,2.2,4.9,19.1,119.9,13.4,30.4,3.66,15.2,3.19,0.91,3.29,0.56,3.22,0.69,1.98,0.3,1.92,0.31,0.42
92J0402,N,57.05,0.588,15.18,5.43,0.11,3.79,4.35,0.99,3.79,0.126,0.028,1.58,<0.02,8.3,99.72,1252,20,0.6,59,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,112,128.5,22.4,15,114.8,73.8,1.8,1,<0.5,0.2,16.3,<1,0.5,3,0.3,1.7,3.8,12.8,113.1,10,23.2,2.77,11.4,2.38,0.71,2.31,0.38,2.07,0.42,1.2,0.2,1.2,0.19,0.4
92J0430,N,60.52,0.611,15.5,6.4,0.08,2.59,4.13,2.39,1.98,0.136,<0.002,0.79,<0.02,5.5,99.84,350,2.7,1.4,57,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,120,26.3,19.7,16,68.7,175.9,1.8,<1,<0.5,0.1,18.5,<1,0.5,3.2,0.3,2.1,3.9,13.8,115.4,10.7,24.3,2.94,11.8,2.65,0.8,2.57,0.41,2.33,0.51,1.44,0.21,1.46,0.22,0.41
TI4086,N,49.83,0.537,13.6,10.13,0.36,3.02,9.38,0.22,2.19,0.144,0.016,2.03,0.17,10.4,99.82,312,17.8,7.3,57,<0.1,1.5,0.8,<0.1,<0.1,0.2,<0.01,<0.1,<0.5,117,102.9,28.6,17,59.1,138.3,0.5,1,1.2,0.9,14.1,<1,0.5,2.6,0.4,1.7,4.8,17,104.1,11.4,26.1,3.09,12,2.69,0.88,2.74,0.47,2.78,0.58,1.75,0.28,1.8,0.3,0.91
