SampleID,Isdrillhol,SiO2_4AES_,TiO2_4AES_,Al2O3_4AES,Fe2O3_4AES,MnO_4AES_p,MgO_4AES_p,CaO_4AES_p,Na2O_4AES_,K2O_4AES_p,P2O5_4AES_,Cr2O3_4AES,TOT_C_4AES,TOT_S_4AES,LOI_4AES_p,Sum_4AES_p,Ba_4AES_pp,Cu_1DXMS_p,Pb_1DXMS_p,Zn_1DXMS_p,Ag_1DXMS_p,Au_1DXMS_p,As_1DXMS_p,Sb_1DXMS_p,Bi_1DXMS_p,Cd_1DXMS_p,Hg_1DXMS_p,Tl_1DXMS_p,Se_1DXMS_p,V_4AES_ppm,Ni_1DXMS_p,Co_4AES_pp,Sc_4AES_pp,Rb_4AES_pp,Sr_4AES_pp,Cs_4AES_pp,Sn_4AES_pp,W_4AES_ppm,Mo_1DXMS_p,Ga_4AES_pp,Be_4AES_pp,U_4AES_ppm,Hf_4AES_pp,Ta_4AES_pp,Th_4AES_pp,Nb_4AES_pp,Y_4AES_ppm,Zr_4AES_pp,La_4AES_pp,Ce_4AES_pp,Pr_4AES_pp,Nd_4AES_pp,Sm_4AES_pp,Eu_4AES_pp,Gd_4AES_pp,Tb_4AES_pp,Dy_4AES_pp,Ho_4AES_pp,Er_4AES_pp,Tm_4AES_pp,Yb_4AES_pp,Lu_4AES_pp,Wgt_4AES_k
404-55,N,48.37,2.163,12.44,19.02,0.25,3.82,5.41,3.35,0.74,0.162,<0.002,0.09,0.41,4.1,99.83,123,19.9,0.6,128,<0.1,1.5,1.4,<0.1,<0.1,<0.1,0.03,<0.1,0.6,242,1.6,43.6,44,28.7,98,9.2,1,0.6,0.3,21.7,<1,0.1,3.8,0.3,0.4,5.5,44,120.2,6.4,18.2,2.76,14.4,4.58,1.59,6.39,1.2,7.34,1.6,4.86,0.75,4.78,0.76,0.61
74F1187,N,54.62,2.111,12.14,15.8,0.18,3.79,4.41,4.45,0.18,0.523,<0.002,0.04,0.12,1.6,99.82,44,10.3,1.2,37,<0.1,1.2,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,89,1,21.3,36,5.1,104.8,0.2,<1,2.2,0.3,20,<1,0.2,4.8,0.4,0.4,6.1,53.7,161,6,17.8,3.1,17,5.61,2.27,7.86,1.46,8.96,1.91,5.78,0.88,5.71,0.89,1.19
74F1204,N,45.67,2.413,13.71,18.22,0.22,6.04,9.23,2.16,0.57,0.226,0.02,0.02,0.1,1.2,99.7,83,110.7,1.3,38,<0.1,1.1,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,578,34.4,49,47,25.9,195.4,0.9,<1,0.6,0.6,18,<1,0,2.3,0.2,0.3,3.3,28.8,78.1,3.7,11.2,1.77,9.5,3.14,1.25,4.32,0.8,4.87,1.1,3.26,0.48,3.07,0.48,1.2
RE66-02,N,43.08,2.619,14.77,20.67,0.31,3.64,4.6,2.87,0.55,0.378,0.009,0.9,0.38,6.3,99.8,139,80.2,2.6,212,<0.1,1.7,4.3,<0.1,<0.1,0.1,0.01,<0.1,<0.5,351,48.5,48.4,32,18.1,98.4,0.6,2,<0.5,0.2,23.5,<1,0.2,4.1,0.7,0.4,11,29.2,137.7,7.8,23,3.49,18.7,5.1,1.67,6.07,1.02,5.65,1.17,3.23,0.46,3.09,0.43,0.94
85J0800,N,45.38,2.301,12.46,20.7,0.29,5.36,5.7,3.6,0.12,0.316,0.005,0.28,<0.02,3.5,99.73,32,39.3,0.8,95,<0.1,<0.5,27.4,0.1,<0.1,<0.1,<0.01,<0.1,<0.5,463,39.7,47.8,50,2.8,73.4,0.3,<1,<0.5,<0.1,17.5,<1,0.1,2.3,0.3,0,4.9,25.5,91.5,4.3,12.7,1.85,9.5,3.23,1.35,4.22,0.8,5.23,1.03,3.11,0.47,3.16,0.48,0.97
KL1631,N,55.43,2.075,11.19,13.62,0.1,3.52,5.21,3.42,0.06,0.418,<0.002,0.66,1,4.8,99.83,14,9.9,1.6,89,<0.1,105.9,3.4,<0.1,0.1,<0.1,<0.01,<0.1,0.9,228,19,29.7,37,0.4,42.9,<0.1,<1,5.6,0.9,18.5,<1,0.2,4,0.4,0.7,5.6,43.2,150.6,3.1,13.3,2.63,16.2,5.34,2.08,7.27,1.3,8.22,1.71,4.6,0.72,4.69,0.72,0.58
73J1798,N,49.85,2.227,11.79,18.23,0.25,4.09,7.47,4,0.43,0.192,<0.002,0.03,<0.02,1.2,99.76,77,96,1.8,30,<0.1,0.9,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,294,5,49,47,12.3,197.6,1.2,2,<0.5,0.2,18.2,<1,0.2,4.2,0.4,0.5,6.5,51.3,145.7,9.1,23.6,3.53,18.2,5.58,1.79,7.3,1.4,8.52,1.83,5.77,0.84,5.32,0.85,1.09
74F1164,N,53.14,2.319,11.66,14.98,0.17,3.67,9.34,2,0.09,0.371,<0.002,<0.02,0.02,2,99.77,12,4.4,1.4,49,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,242,5.3,26.7,34,1.9,516.5,<0.1,<1,0.7,0.3,23,<1,0.2,3.7,0.4,0.3,5,44.5,120.4,8.8,22.9,3.43,17.8,5.27,1.93,6.6,1.21,7.7,1.61,4.68,0.71,4.61,0.72,0.59
74F1205,N,54.61,2.57,12.87,12.57,0.25,4.17,6.39,3.73,0.32,0.489,0.003,0.03,0.32,1.8,99.8,175,35.4,5.3,68,<0.1,<0.5,<0.5,<0.1,0.2,<0.1,<0.01,<0.1,<0.5,183,7.5,23.9,41,11.8,69.9,0.7,<1,0.9,16,20.5,<1,0.1,3.4,0.4,0.5,5.2,44,121.1,6.5,18.3,3,16.6,5.04,2.14,6.95,1.26,7.65,1.64,4.95,0.71,4.62,0.71,1.13
85J0100,N,47.8,2.325,11.54,19.29,0.26,4.62,8.66,3.99,0.26,0.093,<0.002,0.05,0.33,0.9,99.75,111,25.2,3.1,33,<0.1,10.3,<0.5,<0.1,0.2,0.1,<0.01,<0.1,<0.5,586,3.3,44.7,49,5.5,155.6,0.8,<1,<0.5,0.5,20.4,<1,0.1,3.1,0.2,0.5,4.3,31.9,99.8,5.8,15.8,2.45,12,3.65,1.28,4.83,0.89,5.29,1.18,3.7,0.52,3.43,0.52,0.74
