SampleID,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Total C,Total S,LOI,Sum,Ba,Cu,Pb,Zn,Ag,Au,As,Sb,Bi,Cd,Hg,Tl,Se,V,Ni,Co,Sc,Rb,Sr,Cs,Sn,W,Mo,Ga,Be,U,Hf,Ta,Th,Nb,Y,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Wgt,Affinity,Group,Total_BM
GOL154,72.38,0.187,15.78,1.28,<0.01,0.63,0.28,6.09,1.79,0.008,0.004,0.14,0.4,1.5,99.9,862,27.1,3.9,22,<0.1,112.2,3.7,<0.1,0.1,<0.1,<0.01,<0.1,0.7,15,8.9,2.5,2,41.6,20.5,0.8,<1,6.1,0.7,21.2,1,2.3,3.3,0.2,4,3.2,2.3,99.7,12.5,26.2,2.7,8.9,1.5,0.3,0.8,0.1,0.5,0.1,0.2,0,0.2,0,0.9,ALK,Rhyodacite ,53
TI0171,69.12,0.181,14.95,1.71,0.03,1.35,3.27,0.7,3.68,0.069,<0.002,0.7,<0.02,4.8,99.87,611,0.9,1.4,25,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,16,2.8,2.7,2,69.2,90.1,0.4,<1,0.9,<0.1,18.3,<1,0.5,2.7,0.3,1.6,3.3,4.1,82.4,10.1,22.6,2.6,9.7,1.8,0.5,1.3,0.2,0.8,0.1,0.3,0.1,0.3,0.1,0.8,ALK,Rhyodacite ,27.3
83J0393,67.7,0.214,16.77,2.66,0.04,1.9,0.73,6.24,1.82,0.061,0.002,<0.02,<0.02,1.7,99.85,491,5.9,0.6,35,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,0.6,42,14.6,5,4,38.6,138.7,0.5,<1,<0.5,0.2,19.1,<1,0.3,2.1,<0.1,1,1.5,2.7,79.7,8.6,15.6,1.7,7.2,1.1,0.6,0.9,0.1,0.5,0.1,0.3,0,0.2,0,1.1,ALK,Rhyodacite ,41.5
E376481,67.29,0.226,17.16,2.77,0.03,1.27,1.59,7.82,0.85,0.063,0.004,0.03,0.03,0.9,99.95,235,58.4,2.6,26,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,25,14.3,6.5,4,13.5,177.9,<0.1,<1,<0.5,0.9,18.7,1,0.3,1.9,0.1,0.6,1.5,3.3,77.8,6.5,15.7,1.9,8.4,1.3,0.4,0.8,0.1,0.6,0.1,0.3,0.1,0.3,0.1,,ALK,Rhyodacite ,87
E376394,64.75,0.227,16.76,2.45,0.04,1.36,2.18,5.85,2.32,0.055,0.003,0.69,0.01,3.9,99.91,589,3.2,1.5,21,<0.1,<0.5,5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,28,8.4,7.1,4,63.9,149.5,0.3,<1,0.9,0.2,17,1,0.3,2.3,0.1,0.5,1.4,3.8,81.4,6.4,16.3,1.9,8,1.2,0.4,0.9,0.1,0.6,0.1,0.3,0.1,0.3,0.1,,ALK,Rhyodacite ,25.7
TI0478,61.79,0.229,16.08,1.57,0.04,1.06,5.48,6.21,1.22,0.08,<0.002,1.45,0.09,6.1,99.88,358,3.5,1.4,37,<0.1,1.4,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,25,7.9,4.6,3,30.8,123.2,0.6,<1,1.2,<0.1,12.2,<1,0.3,1.6,0.2,0.6,2.1,2.3,59.1,4.9,11.2,1.4,5,1,0.3,0.7,0.1,0.5,0.1,0.2,0,0.2,0,0.8,ALK,Rhyodacite ,41.9
TI0121,70.3,0.202,14,1.92,0.03,1,3.11,2.96,2.55,0.068,<0.002,0.68,0.2,3.8,99.9,530,2.6,2.2,20,<0.1,20.6,9.9,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,21,9.6,5.1,3,47.7,48.6,0.2,<1,6.9,0.2,19.8,<1,0.6,2.3,<0.1,1.9,1.5,2.9,92.6,8.9,19.1,2,8.2,1.5,0.4,1.1,0.1,0.6,0.1,0.3,0,0.2,0,0.7,ALK,Rhyodacite ,24.8
MON134,67.26,0.232,15.79,2.19,0.03,1.19,3.03,5.02,1.16,0.067,0.003,0.62,<0.02,4,99.9,259,2.4,0.7,26,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,35,9.4,6.5,4,31.8,220.4,0.5,<1,<0.5,0.1,15.9,1,0.4,2.2,0.2,1.3,1.6,3.1,70.2,5.7,13.1,1.5,6.2,1.1,0.3,0.8,0.1,0.6,0.1,0.3,0,0.3,0,0.7,ALK,Rhyodacite ,29.1
KL1970 90FT,64.4,0.248,16.69,2.18,0.03,1.57,2.51,9.78,0.41,0.075,0.003,0.4,0.08,2,99.87,267,56.8,12.4,4,0.1,0.8,<0.5,<0.1,0.5,<0.1,<0.01,<0.1,<0.5,56,2.1,6.4,4,4.4,202.6,<0.1,<1,0.6,36.6,21.2,2,0.9,2.6,<0.1,0.8,2.3,3.7,71.7,8.1,17.8,2.1,8.9,1.7,0.5,1.3,0.2,0.6,0.1,0.3,0,0.3,0,0.6,ALK,Rhyodacite ,73.2
TI0362,69.86,0.232,15.56,2.3,0.03,1.3,3.34,3.96,1.45,0.073,0.011,0.04,<0.02,1.7,99.86,359,9.2,2.1,42,<0.1,1.6,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,27,31.1,3.6,4,33.9,296.5,1.1,<1,<0.5,<0.1,19.5,<1,0.6,2.6,0.2,1.1,2.5,4.2,82.8,8,18.5,2,7.7,1.4,0.5,1,0.2,0.9,0.1,0.4,0.1,0.4,0.1,1.1,ALK,Rhyodacite ,53.3
TI0118,69.63,0.221,14.78,1.58,0.02,0.51,3.2,3.43,2.8,0.069,0.003,0.69,0.4,3.7,99.9,521,3.7,3.5,16,<0.1,16.3,24,0.3,<0.1,<0.1,<0.01,<0.1,<0.5,18,13.8,4.2,3,68.7,86,0.3,<1,6,<0.1,20.2,<1,0.6,2.6,<0.1,1.9,1.5,3.1,98.2,9.6,20.2,2.1,7.5,1.5,0.4,1,0.1,0.6,0.1,0.3,0,0.2,0,0.6,ALK,Rhyodacite ,23.2
KL1798 20FT,66.89,0.228,15.18,2.03,0.04,1.27,2.06,5.43,2.89,0.132,0.008,0.66,<0.02,3.5,99.64,1911,4.3,6,33,<0.1,0.6,0.8,0.4,<0.1,<0.1,<0.01,<0.1,<0.5,<8,15.3,5.2,4,71.2,663.9,1.7,<1,<0.5,0.1,18,2,2.9,3.6,0.3,5.7,6.8,9.1,119.6,25.6,56.1,6.2,24.6,4.4,1.1,3,0.4,1.8,0.3,0.7,0.1,0.7,0.1,0.5,ALK,Rhyodacite ,43.3
KL0755 10FT,66.14,0.228,15.16,2.14,0.04,1.29,2.23,5.67,2.79,0.133,0.009,0.82,0.06,3.7,99.5,3649,1.4,5.7,14,<0.1,<0.5,1.3,0.3,<0.1,<0.1,<0.01,<0.1,<0.5,26,6.2,3.9,4,74.9,701.8,2.6,1,0.5,0.1,18.1,3,3.2,3.5,0.3,4.7,6,9.1,113.5,23.3,48,5.9,24.2,4.1,1.1,2.7,0.4,1.7,0.3,0.8,0.1,0.8,0.1,0.6,ALK,Rhyodacite ,21.1
03-PJM-022,71.45,0.233,15.44,1.72,0.06,0.7,1.28,2.93,3.24,0.082,0.003,0.25,<0.02,2.7,99.88,590,2.9,2.8,16,<0.1,467,16.8,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,20,16.1,4.3,3,80.6,46.1,0.5,<1,5.8,<0.1,19.9,<1,0.5,2.8,0.1,2.1,1.6,4.2,98.4,10.1,19.1,2.3,9.1,1.4,0.4,1.2,0.1,0.7,0.1,0.3,0.1,0.3,0,0.6,ALK,Rhyodacite ,21.7
93D0096,79.03,0.173,11.39,1.07,0.01,0.54,0.19,5.17,1.5,0.051,0.007,0.03,<0.02,0.9,99.98,161,4,3.5,14,<0.1,<0.5,0.8,<0.1,0.2,<0.1,<0.01,<0.1,<0.5,26,10.2,3.4,3,37.2,45.5,0.5,1,<0.5,0.2,9.1,<1,1.5,2,0.3,3.6,3.1,6.5,78.2,2.2,5.7,0.8,3.8,1.3,0.4,1.3,0.2,1.1,0.2,0.6,0.1,0.6,0.1,0.7,ALK,Rhyodacite ,21.5
MB-08-87 273.2M,64.98,0.219,14.39,2.22,0.03,1.74,2.9,7.75,1.08,0.175,0.005,1.07,1.02,4.3,99.83,546,5,10,7,0.1,59.6,2,0.1,0.7,<0.1,<0.01,<0.1,<0.5,13,19.3,7.3,3,13,390,0.2,<1,9.3,1.6,17.7,<1,1,2.4,<0.1,1.6,2.2,3.9,76.4,10.3,25.1,3.23,12.9,2.39,0.67,1.63,0.19,0.9,0.13,0.3,0.04,0.27,0.04,,ALK,Rhyodacite ,21.6
85J0719,71.8,0.24,15.74,1.36,0.02,0.86,1.96,5.06,1.5,0.055,<0.002,0.05,<0.02,1.2,99.85,270,6.6,3.2,37,<0.1,<0.5,1.4,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,26,6.1,3.8,3,45.7,450.5,0.7,<1,<0.5,0.3,16.9,<1,0.3,2.5,0.2,1.1,1.9,2.7,89.4,7.7,16.4,1.7,6.5,1.1,0.4,0.9,0.1,0.5,0.1,0.2,0,0.2,0,1.5,ALK,Rhyodacite ,46.8
85J0220,68.81,0.244,15.59,3.16,0.04,1.09,4.03,2.44,2.5,0.069,0.003,0.05,0.06,1.9,99.87,436,9.6,8.5,42,<0.1,0.9,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,27,6.4,5.6,4,83.4,214.8,2.2,<1,<0.5,0.6,19,<1,0.2,2.7,0.1,0.6,1.8,2.6,93.7,5.5,11.8,1.3,4.9,0.9,0.4,0.7,0.1,0.4,0.1,0.3,0,0.3,0,0.5,ALK,Rhyodacite ,60.1
03-PJM-142a,68.27,0.24,15.09,2.09,0.01,1.12,2.03,5.16,2.07,0.079,0.004,0.8,0.06,3.6,99.81,466,304.3,0.6,8,0.2,9.8,9.8,0.1,<0.1,<0.1,<0.01,<0.1,<0.5,35,7,9.4,4,54,335.3,0.8,2,5.5,7.5,22.4,1,0.7,3,0.2,1.5,2.6,8.1,96.8,10,21.9,2.8,11.2,2.4,0.7,2.1,0.3,1.5,0.3,0.8,0.1,0.8,0.1,0.8,ALK,Rhyodacite ,312.9
76J0185,69.5,0.28,17.22,1.64,0.06,0.63,2.66,5.68,1.11,0.084,0.002,0.04,<0.02,1,99.86,385,2.3,1.1,41,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,16,1.2,1.7,3,30.4,425.5,0.9,<1,0.5,0.5,18.4,1,0.5,3.5,0.2,1.4,3.1,4.7,125.9,7.3,18.6,2.2,8.4,1.6,0.6,1.2,0.2,1,0.2,0.4,0.1,0.4,0.1,0.9,ALK,Rhyodacite ,44.4
03-PJM-045,66.44,0.261,15.95,1.91,0.05,1.42,1.48,8.51,0.08,0.069,0.004,0.29,0.13,3.8,99.92,48,7.9,1.6,73,<0.1,5.2,2.3,<0.1,0.1,<0.1,0.03,<0.1,<0.5,28,5,7.3,3,0.8,77.7,<0.1,<1,1.1,1,16.4,<1,0.4,1.9,0.2,1,1.8,3.3,67.9,5.4,11.8,1.5,6.1,1.2,0.3,1,0.1,0.6,0.1,0.3,0,0.3,0,1.2,ALK,Dacite,82.5
E631475,69.25,0.252,14.68,2.75,0.07,0.67,1.94,4.93,1.79,0.091,<0.002,0.66,1.37,3.5,99.92,234,4,6,26,1.9,13305,127,0.1,0.2,<0.1,<0.01,0.1,<0.5,48,4.7,8.4,3,36,161,0.4,1,5.7,0.2,20.6,1,0.5,2.9,0.3,1.8,2.8,5.4,91.5,7.7,18.6,2.5,11.5,2.14,0.51,1.53,0.22,0.99,0.18,0.48,0.08,0.5,0.08,,ALK,Dacite,36.1
GOL144,68.3,0.288,16.4,1.59,0.06,0.68,1.89,4.66,2.43,0.117,0.002,0.67,0.38,3.5,99.95,207,2.6,3.5,16,0.5,116.6,33.6,0.1,0.4,<0.1,<0.01,<0.1,<0.5,35,11.2,3.9,4,54.5,175.8,0.6,<1,3.7,<0.1,19.1,<1,0.7,2.8,0.2,2,2.9,5.2,102.1,11.4,24.4,2.9,11.9,2.1,0.5,1.4,0.2,0.9,0.2,0.5,0.1,0.5,0.1,1,ALK,Dacite,22.1
85J0361,67.06,0.269,15.1,2.56,0.05,1.69,1.66,5.88,3.4,0.166,0.01,0.23,0.02,1.6,99.49,2814,5.6,15.4,75,<0.1,<0.5,<0.5,<0.1,0.4,<0.1,<0.01,0.4,<0.5,43,21,7.1,4,74.4,1061.5,5.3,1,<0.5,<0.1,21.1,3,3.2,3.9,0.4,9,4.9,7.5,113,34.7,70.1,8.3,31.4,5,1.2,3.4,0.4,1.4,0.2,0.6,0.1,0.6,0.1,1.3,ALK,Dacite,96
GOL146,66.4,0.287,16.11,1.71,0.12,0.93,2.66,4.33,2.57,0.104,<0.002,0.94,0.23,4.7,99.94,275,0.6,1.2,21,<0.1,8.7,22.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,36,6.6,2.2,4,50.8,169.1,0.5,<1,2.4,<0.1,18.4,<1,0.7,2.6,0.2,1.9,2.8,6,101.5,10.8,23.9,2.7,11.1,1.9,0.6,1.5,0.2,1.1,0.2,0.5,0.1,0.5,0.1,0.9,ALK,Dacite,22.8
E631692,69.31,0.252,14.07,2.08,0.12,0.8,2.55,5.46,1.49,0.079,<0.002,0.86,0.72,3.7,99.91,265,23,16,17,2.7,12225,90,0.1,0.2,<0.1,<0.01,<0.1,<0.5,50,4.5,3.4,3,33,168,0.4,<1,10.3,0.1,22.9,1,0.6,2.7,0.1,2,2.7,4.9,98.5,11.3,24.1,2.82,11.3,1.86,0.52,1.18,0.19,0.89,0.16,0.39,0.08,0.48,0.08,,ALK,Dacite,55.7
E631586,56.73,0.358,19.71,4.55,0.13,1.33,3.64,1.8,4.92,0.292,0.002,1.11,2.56,6.4,99.83,671,6,27,25,1.1,1964,178,0.3,1.7,0.1,0.01,<0.1,0.7,71,9.5,8.9,5,100,147,1.4,3,9.7,0.3,34.6,2,1,3.9,0.2,2.5,4.2,8,129.2,14.1,31.6,3.75,14.7,2.84,0.92,2.21,0.31,1.6,0.27,0.7,0.12,0.66,0.11,,ALK,Dacite,57.6
03-PJM-152a,64.12,0.296,16.23,2.62,0.06,1.47,4.34,3.44,2.14,0.108,0.007,0.92,0.16,5,99.86,384,2.5,3.5,54,<0.1,3.5,13.3,<0.1,<0.1,<0.1,0.01,<0.1,<0.5,37,27.9,7.6,4,53.4,230.3,1.6,<1,0.6,0.3,19.2,<1,0.7,2.7,0.2,1.8,2.7,4.4,95.4,10.3,21.7,2.5,10,1.7,0.5,1.2,0.2,0.8,0.2,0.4,0.1,0.4,0.1,1,ALK,Dacite,60
GOL186,64.78,0.305,15.98,2.34,<0.01,1.47,2.99,5.64,1.67,0.115,0.003,0.87,0.08,4.5,99.85,303,23.2,1.2,14,<0.1,2.9,1.4,<0.1,<0.1,<0.1,0.02,<0.1,<0.5,55,16.5,6.7,4,48.5,290.4,0.2,<1,3.6,0.6,19.5,<1,1,2.6,0.2,2.8,2.6,5.7,88.4,11.4,25.7,3.2,13.4,2.5,0.6,1.7,0.2,1,0.2,0.5,0.1,0.5,0.1,0.7,ALK,Dacite,38.4
GOL176,65.71,0.314,16.16,2.57,0.02,1.13,3.31,6.36,1.34,0.148,0.002,0.57,0.85,2.7,99.73,320,779.7,1.6,20,1.1,267,3.2,<0.1,1.4,<0.1,0.05,<0.1,0.5,54,4.3,20.4,4,37.2,405.1,0.2,1,3.2,0.6,18.4,<1,1.1,3,0.3,2.9,3.8,6.8,101.6,17.7,37.6,4.3,17.5,2.7,0.8,1.9,0.3,1.1,0.2,0.6,0.1,0.6,0.1,1,ALK,Dacite,801.3
GOL027,62.59,0.296,15.07,4.13,0.04,1.74,3.48,4.44,2.59,0.131,0.005,1.16,1.62,5.4,99.87,224,482.5,8.4,25,0.2,121.4,13.7,0.7,0.5,<0.1,<0.01,<0.1,<0.5,40,24.4,9.3,4,69.9,155.2,1,2,12.8,17.1,17.5,<1,1.3,2.4,0.1,1.5,2.5,5.2,79.5,7.7,15.6,1.8,7.2,1.3,0.4,1.1,0.2,0.8,0.2,0.5,0.1,0.4,0.1,0.5,ALK,Dacite,515.9
TB09004,66.24,0.31,15.45,2.47,0.04,1.22,3.69,3.63,2.74,0.087,0.002,0.77,<0.02,4,99.87,419,1.6,1,39,<0.1,1.2,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,29,10.4,5.6,5,44.2,193.4,0.3,<1,<0.5,<0.1,16.4,1,0.2,2.6,0.2,0.4,2.5,5.3,86.3,7,17.1,2.1,9.6,1.5,0.4,1.3,0.2,0.9,0.2,0.5,0.1,0.5,0.1,1.4,ALK,Dacite,41.6
