SampleID,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Total C,Total S,LOI,Sum,Ba,Cu,Pb,Zn,Ag,Au,As,Sb,Bi,Cd,Hg,Tl,Se,V,Ni,Ni,Co,Sc,Rb,Sr,Cs,Sn,W,Mo,Ga,Be,U,Hf,Ta,Th,Nb,Y,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Wgt,Al2O3/TiO2,Zr/Al2O3,Zr/TiO2,Zr/Y,Zr/Nb,Nb/Y,Th/Yb,(La/Yb)n,(Th/Nb)n,,Affinity,Chemical group,Ishikawa Index,Chlorite Index ,Na2O+CaO,K2O/(K2O+Na2O+CaO),Na2O/(Na2O+K2O),ACN Index,S+C,S/(S+C) (x100),Total BM,Jensen group ,Cat% Al,Cat% Fe+Ti,Cat% Mg,FeO,Cat Al,Cat Fe,Cat Ti,Cat Mg
KID071,77.72,0.089,9.46,4.98,0.02,1.77,0.06,0.07,2.84,0.017,<0.002,<0.02,1.43,2.3,99.32,604,338.5,65.1,3895,1.5,1.9,<0.5,<0.1,2,20.7,0.09,0.4,3.6,<8,<20,2.4,1.4,2,70.4,9.5,1.4,22,1.7,1.5,16.3,2,1.6,7.1,1.4,6.3,21.3,104.4,166.0,43.8,109.0,13.2,54.5,12.7,1.5,14.3,2.8,17.7,3.8,11.3,1.7,11.1,1.6,0.9,106.3,17.5,1865,1.6,7.8,0.2,0.6,2.8,2.5,,THOL,Rhyolite,97.3,97.5,0.1,95.6,2.4,72.8,1.4,99.3,4298.6,,,,,,,,,
KID063,71.82,0.071,7.09,11.53,0.03,1.12,0.13,0.09,1.87,0.016,<0.002,<0.02,5.06,3.3,97.03,157,>10000,13.7,>10000,25,7.8,<0.5,0.1,2.4,44,0.37,0.4,15.8,<8,<20,6.7,106.7,2,39.7,7.3,0.9,191,4.4,1.2,17.7,<1,1.4,6.5,1.2,5.1,16.7,60.6,141.6,17.7,54.1,7.5,34.3,9.9,0.3,11.1,2.0,11.7,2.4,7.1,1.1,7.2,1.0,1.1,99.9,20.0,1994,2.3,8.5,0.3,0.7,1.8,2.6,,THOL,Rhyolite,93.1,97.0,0.2,89.5,4.6,32.2,5.1,99.8,20013.7,,,,,,,,,
TI0259,79.67,0.117,9.46,2.38,0.03,0.32,0.74,4.30,0.98,0.006,0.002,0.42,0.23,1.8,99.80,141,6.4,4.7,189,<0.1,14.2,5.5,1,0.1,0.3,0.04,<0.1,0.7,<8,<20,2.2,0.8,1,26.4,36.1,0.5,10,2.2,0.1,19.7,5,1.8,13.2,3.2,7.0,51.1,202.7,298.3,76.0,196.2,25.9,111.0,27.5,2.7,31.6,5.7,34.6,7.2,21.0,3.2,20.4,2.9,0.7,80.9,31.5,2550,1.5,5.8,0.3,0.3,2.7,1.1,,THOL,Rhyolite,20.5,31.0,5.0,16.3,81.4,1.9,0.7,35.4,200.1,,,,,,,,,
KID083,79.73,0.101,7.06,5.50,0.03,3.86,0.09,0.08,0.69,0.021,0.002,0.03,0.03,2.7,99.89,101,165.2,5.2,49,1.1,2.6,31.8,0.3,0.3,0.2,0.01,0.1,<0.5,12,25,21.2,7.2,4,16.4,10.4,0.6,5,1.8,2.6,18.5,<1,1.3,5.2,1.1,4.6,17.5,46.8,122.5,16.7,45.1,5.6,23.7,6.0,0.3,6.5,1.3,7.6,1.7,5.2,0.8,5.7,0.9,0.5,69.9,17.4,1213,2.6,7.0,0.4,0.8,2.1,2.2,,THOL,Rhyolite,96.4,98.1,0.2,80.2,10.4,41.5,0.1,50.0,219.4,,,,,,,,,
KID086,73.36,0.100,6.77,6.08,0.04,3.65,1.54,0.07,1.09,0.025,<0.002,0.62,1.99,3.9,96.59,141,8717.4,184.2,>10000,10.8,30.1,264.1,0.2,36.1,63.7,0.29,<0.1,>100,<8,<20,7.1,188.2,2,31.1,48.0,0.8,85,2.4,1.2,22.6,<1,1.4,4.0,1.0,3.2,15.8,82.2,105.4,25.2,58.1,7.0,30.8,7.4,0.8,10.1,2.0,12.7,2.7,8.2,1.1,7.4,1.0,0.4,67.7,15.6,1054,1.3,6.7,0.2,0.4,2.5,1.7,,THOL,Rhyolite,74.6,82.1,1.6,40.4,6.0,4.2,2.6,76.2,18901.6,,,,,,,,,
TB09035,76.22,0.163,10.94,4.34,0.03,1.93,0.07,0.05,3.33,0.026,<0.002,0.05,<0.02,2.7,99.76,441,117.4,3.8,244,<0.1,<0.5,<0.5,<0.1,0.3,0.5,<0.01,<0.1,<0.5,<8,<20,0.8,1.5,2,66.5,2.2,0.7,6,1.2,2.4,19.5,2,2.5,12.8,2.3,10.1,30.6,107.7,318.1,39.6,96.9,11.8,50.7,12.9,1.5,15.8,3.0,19.7,4.4,13.9,2.2,14.5,2.2,1.3,67.1,29.1,1952,3.0,10.4,0.3,0.7,2.0,2.8,,THOL,Rhyolite,97.8,98.0,0.1,96.5,1.5,91.2,0.1,16.7,365.2,,,,,,,,,
TB09037,83.32,0.160,10.14,0.93,<0.01,0.35,0.08,0.07,3.37,0.018,<0.002,0.04,<0.02,1.4,99.87,373,4.7,0.9,23,<0.1,<0.5,0.8,<0.1,<0.1,<0.1,0.02,<0.1,0.5,<8,<20,0.5,0.7,2,59.2,2.7,0.3,6,<0.5,1.3,19.2,1,2.0,11.2,2.2,9.1,24.6,100.3,294.8,11.4,27.6,3.4,15.5,5.0,0.7,9.2,2.3,15.8,3.8,12.4,2.0,12.9,2.0,1.0,63.4,29.1,1843,2.9,12.0,0.2,0.7,0.6,3.1,,THOL,Rhyolite,96.1,88.7,0.2,95.7,2.0,67.6,0.1,20.0,28.6,,,,,,,,,
97-BRB-567,74.80,0.191,11.84,4.13,0.06,0.39,2.48,3.08,1.59,0.027,0.004,0.06,0.05,1.2,99.83,115,4.4,1.3,116,<0.1,0.9,<0.5,<0.1,<0.1,0.2,<0.01,<0.1,<0.5,<8,<20,0.5,0.4,3,27.1,49.4,0.4,4,0.5,0.2,25.3,2,0.5,14.9,1.5,2.8,23.9,136.6,433.0,16.7,51.6,7.8,39.0,12.5,3.1,16.8,3.5,23.9,5.4,16.8,2.8,19.2,3.1,1.3,62.0,36.6,2267,3.2,18.1,0.2,0.1,0.6,1.0,,THOL,Rhyolite,26.3,42.2,5.6,22.2,66.0,2.1,0.1,45.5,121.7,,,,,,,,,
MON004,83.39,0.191,9.37,0.60,<0.01,0.26,0.26,3.05,1.44,0.103,0.003,0.04,<0.02,1.2,99.85,366,1.2,1.2,86,<0.1,0.6,4.8,<0.1,<0.1,0.2,<0.01,<0.1,<0.5,14,<20,5.3,2.1,3,30.9,48.4,0.5,5,1.7,1.3,13.5,2,2.0,9.4,1.6,7.6,19.2,121.8,254.5,36.4,92.9,12.0,48.0,12.4,1.9,14.7,2.9,19.2,4.4,13.7,2.2,14.5,2.2,1.2,49.1,27.2,1332,2.1,13.3,0.2,0.5,1.8,3.3,,THOL,Rhyolite,33.9,19.3,3.3,30.3,67.9,2.8,0.1,20.0,88.4,,,,,,,,,
HD-09-40 13.0M,61.00,0.545,13.19,9.22,0.15,0.81,2.87,7.94,0.58,0.104,0.002,0.67,0.01,3.3,99.74,30,319.8,6.7,75,0.1,30.3,1,0.3,0.4,0.3,<0.01,<0.1,0.6,203,<20,2.9,4.6,13,8.8,96.6,0.2,4,8.8,0.4,35.7,4,4.1,17.8,1.5,3.0,22.8,125.7,597.3,8.0,36.2,6.8,38.8,14.5,3.4,19.9,3.8,23.1,5.1,14.9,2.3,14.8,2.3,0.4,24.2,45.3,1096,4.8,26.2,0.2,0.2,0.4,1.1,,THOL,Ferrodacite ,11.4,45.7,10.8,5.1,93.2,1.2,0.7,1.5,401.5,,,,,,,,,
SAS 400-U246 90.6M,65.68,0.480,11.28,6.74,0.11,0.89,3.53,4.57,0.98,0.087,<0.002,1.53,0.75,5.4,99.78,233,9.5,0.9,45,<0.1,444.4,205.5,0.7,<0.1,<0.1,<0.01,<0.1,<0.5,15,<20,0.7,2.4,11,18.8,92.5,0.5,4,29.1,3.2,22.6,1,0.8,16.8,1.2,2.5,22.0,151.9,552.6,26.3,77.8,11.1,57.0,17.0,3.7,21.5,4.1,25.9,5.8,17.1,2.6,16.5,2.5,0.4,23.5,49.0,1151,3.6,25.1,0.1,0.2,1.1,1.0,,THOL,Ferrodacite ,18.8,43.7,8.1,10.8,82.3,1.4,2.3,32.9,55.4,,,,,,,,,
KL2007 26.2M,71.83,0.444,9.78,6.86,0.11,0.82,3.39,2.76,0.69,0.106,<0.002,0.44,0.42,3.1,99.85,79,3.2,0.7,44,<0.1,0.7,1.1,0.1,<0.1,<0.1,<0.01,<0.1,<0.5,<8,<20,0.8,2.6,11,11.9,102.0,0.1,3,<0.5,0.4,20.4,1,0.4,12.8,0.9,1.9,15.4,105.1,400.5,17.9,51.1,7.9,40.6,12.6,3.4,15.6,2.9,18.0,3.9,12.7,2.0,13.6,2.1,0.3,22.0,41.0,902,3.8,26.0,0.1,0.1,0.9,1.0,,THOL,Ferrodacite ,19.7,51.9,6.2,10.1,80.0,1.6,0.9,48.8,47.9,,,,,,,,,
SAS-400-U243 131.3M,63.93,0.477,9.58,9.67,0.23,0.87,2.40,5.27,0.19,0.237,0.002,1.29,4.36,6.9,99.81,72,100.9,3.8,76,0.4,5379.3,1158,11,0.1,0.3,0.12,<0.1,0.8,10,<20,0.8,2.8,15,4.8,138.5,0.1,3,25.4,1.4,18.3,<1,0.6,13.8,1.0,2.3,18.3,145.3,419.1,22.2,63.5,9.5,47.7,14.9,3.3,19.9,3.7,23.1,5.3,15.6,2.4,15.7,2.5,0.6,20.1,43.7,879,2.9,22.9,0.1,0.1,1.0,1.1,,THOL,Ferrodacite ,12.1,42.9,7.7,2.4,96.5,1.2,5.7,77.2,180.7,,,,,,,,,
92J0226,66.53,0.731,11.04,12.66,0.08,2.98,2.27,0.68,0.16,0.210,<0.002,0.03,0.16,2.5,99.82,36,30.2,1.1,44,<0.1,<0.5,<0.5,<0.1,0.2,<0.1,<0.01,<0.1,0.5,8,<20,4.1,16.0,19,5.2,116.4,0.4,2,<0.5,0.5,25.4,<1,0.4,10.2,0.9,1.7,13.9,89.8,332.3,16.1,46.5,7.0,34.0,10.7,2.9,13.8,2.5,15.3,3.4,10.4,1.6,10.6,1.7,0.8,15.1,30.1,455,3.7,23.9,0.2,0.2,1.1,1.0,,THOL,Ferroandesite,51.6,82.8,3.0,5.1,81.0,3.7,0.2,84.2,75.3,,,,,,,,,
SM09012,75.39,0.716,8.88,5.62,0.04,4.12,0.25,0.16,1.26,0.149,<0.002,<0.02,0.35,3.2,99.78,293,41.0,9.9,320,0.1,12.7,8.2,<0.1,2.2,0.3,0.01,<0.1,0.9,80,<20,10.0,12.8,15,27.7,7.7,0.4,4,1.6,21.1,12.9,<1,0.6,4.2,0.4,1.7,6.4,20.6,161.7,4.0,10.4,1.5,7.4,2.0,0.6,2.7,0.5,3.2,0.8,2.5,0.4,2.7,0.4,1.8,12.4,18.2,226,7.8,25.3,0.3,0.6,1.1,2.2,,THOL,Ferroandesite,92.9,95.6,0.4,75.4,11.3,21.7,0.4,97.2,370.9,,,,,,,,,
92J0090,63.28,1.070,13.11,9.13,0.12,2.65,5.21,3.82,0.16,0.238,0.030,0.06,0.07,1.0,99.81,53,35.2,1.4,32,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,104,<20,10.7,15.0,26,4.2,144.1,0.3,2,<0.5,1.0,23.1,2,0.5,8.5,0.7,1.5,12.1,93.2,281.4,13.2,38.8,6.0,31.3,9.8,2.5,12.9,2.4,15.6,3.4,10.5,1.5,10.0,1.6,0.5,12.3,21.5,263,3.0,23.3,0.1,0.1,0.9,1.0,,THOL,Ferroandesite,23.7,54.5,9.0,1.7,96.0,1.5,0.1,53.8,68.6,,,,,,,,,
98-BRB-716,67.03,0.898,10.79,10.11,0.19,1.34,2.78,3.53,0.11,0.227,<0.002,0.38,<0.02,2.8,99.84,23,12.3,0.9,101,<0.1,0.7,4.4,0.1,<0.1,<0.1,<0.01,<0.1,<0.5,18,<20,1.8,11.4,18,2.4,48.7,0.1,2,<0.5,0.2,17.1,<1,0.4,11.2,0.9,1.6,13.6,97.9,371.4,9.7,29.9,4.7,24.9,8.2,1.9,11.7,2.4,15.0,3.4,10.7,1.7,11.0,1.7,0.6,12.0,34.4,414,3.8,27.3,0.1,0.1,0.6,1.0,,THOL,Ferroandesite,18.7,62.3,6.3,1.7,97.0,1.7,0.4,2.6,114.2,,,,,,,,,
92J0354,59.98,1.142,12.70,12.05,0.08,6.42,2.01,0.84,0.30,0.232,0.009,0.03,0.12,4.0,99.78,37,13.9,1.0,42,<0.1,0.6,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,139,<20,20.8,15.6,29,11.5,63.3,1.0,2,7.0,0.1,21.4,<1,0.3,7.5,0.6,1.3,9.9,65.2,250.8,12.0,36.1,5.0,25.1,7.8,2.4,10.1,1.9,11.5,2.5,7.6,1.2,7.7,1.3,0.7,11.1,19.7,220,3.8,25.3,0.2,0.2,1.1,1.1,,THOL,Ferroandesite,70.2,85.8,2.9,9.5,73.7,4.5,0.2,80.0,56.9,,,,,,,,,
74F0082,64.15,1.236,11.76,11.11,0.15,2.06,3.56,3.74,0.18,0.414,0.003,0.11,<0.02,1.5,99.82,73,4.9,3.6,67,<0.1,1.2,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,34,<20,2.5,11.5,27,3.4,138.4,0.3,1,<0.5,0.3,22.4,<1,0.4,8.0,0.6,1.3,10.7,86.6,240.2,12.4,35.1,5.7,32.3,9.1,2.8,12.3,2.3,14.4,3.0,9.0,1.3,8.8,1.4,1.2,9.5,20.4,194,2.8,22.4,0.1,0.1,1.0,1.0,,THOL,Ferroandesite,23.5,62.3,7.3,2.4,95.4,1.6,0.1,15.4,75.5,,,,,,,,,
BH-23-1 101.8M,61.36,1.530,11.97,12.67,0.10,2.56,2.37,4.10,0.05,0.607,<0.002,0.09,0.52,2.5,99.85,16,11.5,0.8,65,<0.1,8.7,12.9,<0.1,0.1,<0.1,<0.01,<0.1,1.3,57,<20,6.5,33.9,37,0.4,36.5,<0.1,1,2.0,0.7,20.5,<1,0.3,8.9,0.6,1.0,10.7,64.4,326.3,4.9,17.1,3.0,18.6,6.8,2.5,9.6,1.9,11.6,2.6,7.6,1.2,7.8,1.2,0.5,7.8,27.3,213,5.1,30.5,0.2,0.1,0.5,0.8,,THOL,Ferroandesite,28.7,67.6,6.5,0.8,98.8,1.9,0.6,85.2,77.3,,,,,,,,,
E376325,51.47,0.253,19.44,6.06,0.13,6.74,5.98,4.58,0.44,0.017,0.082,0.09,0.01,4.6,99.87,79,26.0,2.2,40,<0.1,0.9,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,161,247,186.5,44.2,44,8.5,60.8,0.1,<1,<0.5,0.2,7.9,<1,<0.1,0.5,<0.1,<0.2,2.5,11.9,16.9,0.6,1.7,0.3,1.5,0.5,0.1,0.9,0.2,1.5,0.4,1.4,0.2,1.6,0.3,,76.8,0.9,67,1.4,6.8,0.2,,0.3,,,THOL,Mafic ,40.5,53.6,10.6,4.0,91.2,1.8,0.1,10.0,68.2,Al mafic,60.8,12.6,26.6,5.45,38.1,7.6,0.32,16.7
73S0490,47.96,0.202,13.98,5.36,0.11,12.38,15.34,1.07,0.31,0.018,0.140,0.05,<0.02,2.8,99.72,41,11.8,0.9,13,<0.1,1.1,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,141,187,91.5,39.4,35,7.1,138.5,0.3,<1,<0.5,<0.1,9.4,<1,<0.1,0.3,<0.1,<0.2,0.5,5.1,11.6,1.0,2.6,0.4,1.8,0.6,0.3,0.8,0.2,0.9,0.2,0.6,0.1,0.5,0.1,0.5,69.2,0.8,57,2.3,23.2,0.1,,,,,THOL,Mafic ,43.6,51.2,16.4,1.9,77.5,0.9,0.1,28.6,25.7,Mg mafic,42.1,10.7,47.2,4.82,27.4,6.7,0.25,30.7
73S0436,47.95,0.230,15.06,5.42,0.11,10.62,15.74,1.42,0.33,0.026,0.058,0.04,<0.02,2.8,99.78,64,100.6,1.1,19,<0.1,1.8,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,126,138,65.4,34.5,31,8.6,123.4,0.3,<1,<0.5,0.1,10.6,<1,<0.1,0.4,<0.1,<0.2,0.6,5.6,13.2,1.1,3.0,0.4,2.0,0.6,0.3,0.8,0.2,0.9,0.2,0.5,0.1,0.5,0.1,0.4,65.5,0.9,57,2.4,22.0,0.1,,,,,THOL,Mafic ,39.0,47.4,17.2,1.9,81.1,0.9,0.1,33.3,120.7,Mg mafic,46.9,11.2,41.8,4.88,29.5,6.8,0.29,26.3
MON139,48.59,0.367,16.66,9.38,0.17,9.64,8.29,2.64,0.02,0.031,0.032,0.06,0.03,3.9,99.76,6,55.6,<0.1,38,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,183,148,103.8,45.4,46,<0.1,64.5,<0.1,<1,0.5,0.1,9.3,<1,<0.1,0.7,<0.1,<0.2,1.0,14.0,25.5,1.5,4.3,0.6,2.8,0.8,0.5,1.3,0.3,2.0,0.5,1.7,0.3,1.9,0.3,1.1,45.4,1.5,69,1.8,25.5,0.1,,0.6,,,THOL,Mafic ,46.9,62.3,10.9,0.2,99.2,1.5,0.1,33.3,93.6,Mg mafic,47.5,17.7,34.8,8.44,32.7,11.7,0.46,23.9
92J0136,48.78,0.454,19.76,12.79,0.17,5.75,3.21,3.79,0.81,0.124,0.024,0.06,0.11,4.1,99.76,207,87.3,1.6,93,<0.1,<0.5,0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,275,84,92.2,32.8,28,36.0,164.7,3.3,<1,<0.5,0.4,18.3,<1,<0.1,2.6,<0.1,0.4,0.7,18.3,79.4,3.2,8.9,1.3,5.8,1.9,1.0,2.6,0.5,2.9,0.7,2.1,0.4,2.1,0.4,1.5,43.5,4.0,175,4.3,113.4,0.0,0.2,1.1,4.8,,THOL,Mafic ,48.4,71.0,7.0,10.4,82.4,2.8,0.2,64.7,181.9,Altered mafic,55.7,23.8,20.5,11.51,38.8,16.0,0.57,14.3
TI3313,49.11,0.452,19.27,6.61,0.17,4.83,7.26,2.69,0.35,0.046,0.027,1.27,0.05,9.0,99.85,87,60.2,0.3,43,<0.1,<0.5,25.4,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,212,160,121.2,47.1,55,8.3,92.6,0.2,<1,0.6,0.1,10.0,<1,<0.1,0.9,<0.1,<0.2,1.3,15.8,35.3,1.8,4.7,0.7,3.3,1.0,0.4,1.4,0.3,2.2,0.6,1.9,0.3,2.3,0.4,0.6,42.6,1.8,78,2.2,27.2,0.1,,0.6,,,THOL,Mafic ,34.2,51.9,10.0,3.4,88.5,1.9,1.3,3.8,103.5,Al mafic,64.5,15.1,20.4,5.95,37.8,8.3,0.57,12.0
MON122,47.86,0.344,14.62,9.14,0.19,9.49,9.55,2.19,0.22,0.039,0.058,0.67,0.04,6.0,99.75,71,75.8,0.2,40,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,171,263,175.9,51.3,40,6.6,30.0,0.2,<1,<0.5,0.1,7.0,<1,<0.1,0.8,<0.1,<0.2,0.8,12.6,25.5,1.3,3.5,0.5,2.9,0.7,0.3,1.2,0.2,1.9,0.5,1.6,0.3,1.8,0.3,1.0,42.5,1.7,74,2.0,31.9,0.1,,0.5,,,THOL,Mafic ,45.3,60.1,11.7,1.8,90.9,1.2,0.7,5.6,116.0,Mg mafic,44.7,18.5,36.7,8.22,28.7,11.4,0.43,23.5
GOL152,37.23,0.337,14.16,8.17,0.16,5.90,11.02,3.79,1.71,0.010,0.025,4.63,0.16,17.3,99.79,572,43.5,0.3,54,<0.1,5.1,139.2,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,149,121,113.4,37.9,39,40.1,227.4,0.7,<1,3.1,1.1,8.3,<1,<0.1,0.6,<0.1,<0.2,0.9,9.5,20.8,1.1,2.9,0.4,2.1,0.6,0.3,0.9,0.2,1.4,0.4,1.3,0.2,1.5,0.2,1.2,42.0,1.5,62,2.2,23.1,0.1,,0.5,,,THOL,Mafic ,33.9,47.0,14.8,10.4,68.9,1.0,4.8,3.3,97.8,Mafic,52.3,20.1,27.6,7.35,27.8,10.2,0.42,14.6
GOL160,44.91,0.383,16.05,10.21,0.17,7.25,8.04,1.73,0.19,0.008,0.014,1.73,<0.02,10.9,99.82,11,86.7,0.2,47,<0.1,4.2,2.9,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,238,77,66.3,37.7,46,3.6,89.4,0.1,<1,<0.5,0.3,10.4,<1,<0.1,1.0,<0.1,<0.2,0.5,20.1,34.8,1.5,3.2,0.4,1.9,0.8,0.4,1.5,0.4,2.7,0.7,2.6,0.5,3.1,0.5,1.0,41.9,2.2,91,1.7,69.6,0.0,,0.4,,,THOL,Mafic ,43.2,62.7,9.8,1.9,90.1,1.6,1.7,0.6,133.9,Mafic,50.2,21.1,28.7,9.19,31.5,12.8,0.48,18.0
73S0450,49.37,0.377,15.55,8.90,0.16,8.42,11.07,1.87,0.42,0.046,0.006,<0.02,<0.02,3.6,99.76,64,83.4,0.3,30,<0.1,0.7,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,162,64,43.6,40.6,33,7.9,143.7,0.2,<1,<0.5,<0.1,13.3,<1,<0.1,0.8,<0.1,0.3,1.0,8.5,23.7,2.2,5.1,0.8,3.3,1.1,0.4,1.3,0.3,1.5,0.3,1.0,0.1,0.9,0.1,1.0,41.2,1.5,63,2.8,23.7,0.1,0.3,1.8,2.5,,THOL,Mafic ,40.6,55.9,12.9,3.1,81.7,1.2,0.0,50.0,113.7,Mg mafic,48.4,18.4,33.2,8.01,30.5,11.1,0.47,20.9
73S0505,49.18,0.421,17.24,7.79,0.12,7.19,10.94,2.45,1.27,0.045,0.010,<0.02,0.04,3.1,99.80,141,126.5,0.5,14,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,163,69,38.3,35.4,31,26.6,267.6,0.3,<1,<0.5,0.3,14.4,<1,<0.1,0.8,<0.1,0.2,1.1,9.3,26.0,2.3,5.8,0.8,4.2,1.1,0.5,1.4,0.3,1.5,0.3,0.9,0.2,0.9,0.1,0.8,41.0,1.5,62,2.8,23.6,0.1,0.2,1.9,1.5,,THOL,Mafic ,38.7,51.4,13.4,8.7,65.9,1.3,0.1,66.7,141.0,Mafic,54.6,16.6,28.8,7.01,33.8,9.8,0.53,17.8
83J0073,46.19,0.548,21.73,7.57,0.12,4.77,10.94,1.75,2.76,0.030,0.027,0.03,0.02,3.3,99.78,404,49.3,4.3,15,<0.1,7.5,0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,193,76,29.1,28.2,22,169.3,347.9,1.8,<1,<0.5,2.9,17.3,<1,<0.1,0.7,<0.1,<0.2,0.8,8.7,18.9,1.5,3.5,0.5,2.7,0.8,0.4,1.1,0.2,1.4,0.3,0.9,0.1,0.9,0.1,0.7,39.7,0.9,34,2.2,23.6,0.1,,,,,THOL,Mafic ,37.2,47.7,12.7,17.9,38.8,1.7,0.1,40.0,68.6,Al mafic,66.0,15.7,18.3,6.81,42.6,9.5,0.69,11.8
GOL051,44.65,0.365,13.88,11.09,0.16,9.12,6.33,1.68,0.04,0.032,0.033,2.56,0.37,12.4,99.79,41,59.6,2.0,74,<0.1,11,102.4,0.3,<0.1,0.3,<0.01,<0.1,0.6,171,183,141.5,45.7,50,2.4,121.3,0.9,<1,8.3,0.1,9.2,1,<0.1,0.8,<0.1,<0.2,1.0,17.0,23.3,1.4,3.7,0.6,2.8,0.9,0.3,1.3,0.3,2.2,0.6,2.0,0.3,2.4,0.4,0.7,38.0,1.7,64,1.4,23.3,0.1,,0.4,,,THOL,Mafic ,53.3,70.1,8.0,0.5,97.7,1.7,2.9,12.6,135.6,Mg mafic,42.4,22.3,35.2,9.98,27.2,13.9,0.46,22.6
GOL158,47.42,0.486,16.92,8.62,0.17,8.25,5.87,2.74,0.89,0.043,0.025,1.02,<0.02,8.3,99.79,259,59.5,0.2,48,<0.1,3.9,1.3,0.5,<0.1,<0.1,<0.01,<0.1,<0.5,209,105,83.8,38.5,55,28.7,55.6,0.4,<1,<0.5,0.1,10.0,<1,<0.1,1.0,<0.1,<0.2,1.5,14.7,32.8,1.8,5.1,0.7,3.7,1.0,0.4,1.5,0.3,2.4,0.6,1.8,0.3,2.2,0.3,1.4,34.8,1.9,67,2.2,21.9,0.1,,0.6,,,THOL,Mafic ,51.5,65.0,8.6,9.4,75.5,2.0,1.0,1.0,107.7,Mg mafic,51.0,17.5,31.5,7.76,33.2,10.8,0.61,20.5
83J0305,46.22,0.472,15.96,9.27,0.15,13.57,8.99,1.03,1.45,0.041,0.087,<0.02,<0.02,2.4,99.68,364,44.6,0.6,18,<0.1,<0.5,0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,160,483,101.7,61.3,24,44.2,185.3,0.6,<1,<0.5,0.3,11.5,<1,<0.1,0.6,<0.1,<0.2,0.9,8.7,21.3,1.3,3.5,0.5,2.6,0.9,0.4,1.1,0.2,1.4,0.3,0.9,0.2,1.0,0.2,1.9,33.8,1.3,45,2.4,23.7,0.1,,1.0,,,,Mafic ,,68.6,10.0,12.6,,,0.0,50.0,63.2,Mg mafic,40.6,15.8,43.6,8.34,31.3,11.6,0.59,33.7
KID012,44.75,0.521,17.44,9.46,0.15,11.02,10.24,1.49,0.10,0.021,0.027,0.10,<0.02,4.5,99.72,32,59.0,0.2,35,<0.1,1.7,1.7,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,172,302,160.0,60.2,24,2.9,179.5,0.3,<1,<0.5,<0.1,12.9,<1,<0.1,0.7,0.1,<0.2,1.2,10.4,25.6,1.5,4.7,0.7,3.6,1.0,0.4,1.6,0.3,1.7,0.4,1.2,0.2,1.1,0.2,0.6,33.5,1.5,49,2.5,21.3,0.1,,1.0,,,THOL,Mafic ,48.7,62.5,11.7,0.8,93.7,1.5,0.1,9.1,94.2,Mg mafic,46.2,16.9,36.9,8.51,34.2,11.8,0.65,27.3
TI1070,48.88,0.477,15.83,11.22,0.19,8.94,7.67,1.90,0.04,0.029,0.024,0.21,<0.02,4.6,99.78,11,46.8,0.3,64,<0.1,0.8,0.5,0.3,<0.1,<0.1,<0.01,<0.1,<0.5,207,152,101.6,48.9,51,0.4,49.3,<0.1,<1,<0.5,<0.1,10.4,<1,<0.1,1.3,0.1,0.2,1.5,17.5,35.3,2.0,5.3,0.7,4.1,1.1,0.4,1.7,0.4,2.5,0.7,2.2,0.4,2.5,0.4,0.6,33.2,2.2,74,2.0,23.5,0.1,0.1,0.6,1.1,,THOL,Mafic ,48.4,66.5,9.6,0.4,97.9,1.7,0.2,4.5,111.1,Mg mafic,45.7,21.6,32.7,10.10,31.1,14.1,0.60,22.2
