SampleID,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Total C,Total S,LOI,Sum,Ba,Cu,Pb,Zn,Ag,Au,As,Sb,Bi,Cd,Hg,Tl,Se,V,Ni,Ni,Co,Sc,Rb,Sr,Cs,Sn,W,Mo,Ga,Be,U,Hf,Ta,Th,Nb,Y,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Wgt,Al2O3/TiO2,Zr/Al2O3,Zr/TiO2,Zr/Y,Zr/Nb,Nb/Y,Th/Yb,(La/Yb)n,(Th/Nb)n,,Affinity,Chemical group,Ishikawa Index,Chlorite Index ,Na2O+CaO,K2O/(K2O+Na2O+CaO),Na2O/(Na2O+K2O),ACN Index,S+C,S/(S+C) (x100),Total BM,Jensen group ,Cat% Al,Cat% Fe+Ti,Cat% Mg,FeO,Cat Al,Cat Fe,Cat Ti,Cat Mg
TI0171,69.12,0.181,14.95,1.71,0.03,1.35,3.27,0.70,3.68,0.069,<0.002,0.70,<0.02,4.8,99.87,611,0.9,1.4,25,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,16,<20,2.8,2.7,2,69.2,90.1,0.4,<1,0.9,<0.1,18.3,<1,0.5,2.7,0.3,1.6,3.3,4.1,82.4,10.1,22.6,2.6,9.7,1.8,0.5,1.3,0.2,0.8,0.1,0.3,0.1,0.3,0.1,0.8,82.6,5.5,455,20.1,25.0,0.8,5.7,25.9,4.1,,ALK,Rhyodacite ,55.9,42.0,4.0,48.1,16.0,3.8,0.7,1.4,27.3,,,,,,,,,
83J0393,67.70,0.214,16.77,2.66,0.04,1.90,0.73,6.24,1.82,0.061,0.002,<0.02,<0.02,1.7,99.85,491,5.9,0.6,35,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,0.6,42,<20,14.6,5.0,4,38.6,138.7,0.5,<1,<0.5,0.2,19.1,<1,0.3,2.1,<0.1,1.0,1.5,2.7,79.7,8.6,15.6,1.7,7.2,1.1,0.6,0.9,0.1,0.5,0.1,0.3,0.0,0.2,0.0,1.1,78.4,4.8,372,29.5,53.1,0.6,5.3,32.5,5.6,,ALK,Rhyodacite ,34.8,38.0,7.0,20.7,77.4,2.4,0.0,50.0,41.5,,,,,,,,,
E376481,67.29,0.226,17.16,2.77,0.03,1.27,1.59,7.82,0.85,0.063,0.004,0.03,0.03,0.9,99.95,235,58.4,2.6,26,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,25,21,14.3,6.5,4,13.5,177.9,<0.1,<1,<0.5,0.9,18.7,1,0.3,1.9,0.1,0.6,1.5,3.3,77.8,6.5,15.7,1.9,8.4,1.3,0.4,0.8,0.1,0.6,0.1,0.3,0.1,0.3,0.1,,75.9,4.5,344,23.6,51.9,0.5,2.0,15.5,3.4,,ALK,Rhyodacite ,18.4,28.4,9.4,8.3,90.2,1.8,0.1,50.0,87.0,,,,,,,,,
E376394,64.75,0.227,16.76,2.45,0.04,1.36,2.18,5.85,2.32,0.055,0.003,0.69,0.01,3.9,99.91,589,3.2,1.5,21,<0.1,<0.5,5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,28,<20,8.4,7.1,4,63.9,149.5,0.3,<1,0.9,0.2,17.0,1,0.3,2.3,0.1,0.5,1.4,3.8,81.4,6.4,16.3,1.9,8.0,1.2,0.4,0.9,0.1,0.6,0.1,0.3,0.1,0.3,0.1,,73.8,4.9,359,21.4,58.1,0.4,1.5,13.5,3.0,,ALK,Rhyodacite ,31.4,30.7,8.0,22.4,71.6,2.1,0.7,1.4,25.7,,,,,,,,,
TI0478,61.79,0.229,16.08,1.57,0.04,1.06,5.48,6.21,1.22,0.080,<0.002,1.45,0.09,6.1,99.88,358,3.5,1.4,37,<0.1,1.4,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,25,<20,7.9,4.6,3,30.8,123.2,0.6,<1,1.2,<0.1,12.2,<1,0.3,1.6,0.2,0.6,2.1,2.3,59.1,4.9,11.2,1.4,5.0,1.0,0.3,0.7,0.1,0.5,0.1,0.2,0.0,0.2,0.0,0.8,70.2,3.7,258,25.7,28.1,0.9,3.3,19.5,2.4,,ALK,Rhyodacite ,16.3,17.0,11.7,9.5,83.6,1.4,1.5,5.8,41.9,,,,,,,,,
TI0121,70.30,0.202,14.00,1.92,0.03,1.00,3.11,2.96,2.55,0.068,<0.002,0.68,0.20,3.8,99.90,530,2.6,2.2,20,<0.1,20.6,9.9,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,21,<20,9.6,5.1,3,47.7,48.6,0.2,<1,6.9,0.2,19.8,<1,0.6,2.3,<0.1,1.9,1.5,2.9,92.6,8.9,19.1,2.0,8.2,1.5,0.4,1.1,0.1,0.6,0.1,0.3,0.0,0.2,0.0,0.7,69.3,6.6,458,31.9,61.7,0.5,7.9,26.6,10.6,,ALK,Rhyodacite ,36.9,29.6,6.1,29.6,53.7,2.3,0.9,22.7,24.8,,,,,,,,,
MON134,67.26,0.232,15.79,2.19,0.03,1.19,3.03,5.02,1.16,0.067,0.003,0.62,<0.02,4.0,99.90,259,2.4,0.7,26,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,35,<20,9.4,6.5,4,31.8,220.4,0.5,<1,<0.5,0.1,15.9,1,0.4,2.2,0.2,1.3,1.6,3.1,70.2,5.7,13.1,1.5,6.2,1.1,0.3,0.8,0.1,0.6,0.1,0.3,0.0,0.3,0.0,0.7,68.1,4.4,303,22.6,43.9,0.5,4.8,15.1,6.8,,ALK,Rhyodacite ,22.6,28.1,8.1,12.6,81.2,2.0,0.6,1.6,29.1,,,,,,,,,
KL1970 90FT,64.40,0.248,16.69,2.18,0.03,1.57,2.51,9.78,0.41,0.075,0.003,0.40,0.08,2.0,99.87,267,56.8,12.4,4,0.1,0.8,<0.5,<0.1,0.5,<0.1,<0.01,<0.1,<0.5,56,<20,2.1,6.4,4,4.4,202.6,<0.1,<1,0.6,36.6,21.2,2,0.9,2.6,<0.1,0.8,2.3,3.7,71.7,8.1,17.8,2.1,8.9,1.7,0.5,1.3,0.2,0.6,0.1,0.3,0.0,0.3,0.0,0.6,67.3,4.3,289,19.4,31.2,0.6,3.1,22.3,2.9,,ALK,Rhyodacite ,13.9,22.0,12.3,3.2,96.0,1.4,0.5,16.7,73.2,,,,,,,,,
TI0362,69.86,0.232,15.56,2.30,0.03,1.30,3.34,3.96,1.45,0.073,0.011,0.04,<0.02,1.7,99.86,359,9.2,2.1,42,<0.1,1.6,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,27,37,31.1,3.6,4,33.9,296.5,1.1,<1,<0.5,<0.1,19.5,<1,0.6,2.6,0.2,1.1,2.5,4.2,82.8,8.0,18.5,2.0,7.7,1.4,0.5,1.0,0.2,0.9,0.1,0.4,0.1,0.4,0.1,1.1,67.1,5.3,357,19.7,33.1,0.6,3.1,16.4,3.7,,ALK,Rhyodacite ,27.4,31.5,7.3,16.6,73.2,2.1,0.1,20.0,53.3,,,,,,,,,
TI0118,69.63,0.221,14.78,1.58,0.02,0.51,3.20,3.43,2.80,0.069,0.003,0.69,0.40,3.7,99.90,521,3.7,3.5,16,<0.1,16.3,24,0.3,<0.1,<0.1,<0.01,<0.1,<0.5,18,28,13.8,4.2,3,68.7,86.0,0.3,<1,6.0,<0.1,20.2,<1,0.6,2.6,<0.1,1.9,1.5,3.1,98.2,9.6,20.2,2.1,7.5,1.5,0.4,1.0,0.1,0.6,0.1,0.3,0.0,0.2,0.0,0.6,66.9,6.6,444,31.7,65.5,0.5,8.3,29.9,10.6,,ALK,Rhyodacite ,33.3,19.3,6.6,29.7,55.1,2.2,1.1,36.7,23.2,,,,,,,,,
