SampleID,SourceID,ProjectID,LGC
74J1612,asd,mrd,FALSE
74J1622,asd,mrd,FALSE
74J1626,asd,mrd,FALSE
74J1629,asd,mrd,FALSE
74J1631,asd,mrd,FALSE
74J1633,asd,mrd,FALSE
74J1634,asd,mrd,FALSE
74J1635,asd,mrd,FALSE
74J1637,asd,mrd,FALSE
74J1641,asd,mrd,FALSE
74J1643,asd,mrd,FALSE
74J1649,asd,mrd,FALSE
74J1651,asd,mrd,FALSE
74J167,asd,mrd,FALSE
74J1672_1,asd,mrd,FALSE
74J1672_2,asd,mrd,FALSE
74J169,asd,mrd,FALSE
74J1703_clst,asd,mrd,FALSE
74J1703_mtx,asd,mrd,FALSE
74J175,asd,mrd,FALSE
74J202,asd,mrd,FALSE
74J204,asd,mrd,FALSE
74J207,asd,mrd,FALSE
74J208,asd,mrd,FALSE
74J209,asd,mrd,FALSE
74J264,asd,mrd,FALSE
74J266,asd,mrd,FALSE
74J267,asd,mrd,FALSE
74J270,asd,mrd,FALSE
74J275,asd,mrd,FALSE
74J279,asd,mrd,FALSE
74J285,asd,mrd,FALSE
74J287,asd,mrd,FALSE
74J290,asd,mrd,FALSE
74J295,asd,mrd,FALSE
74J297,asd,mrd,FALSE
74J302,asd,mrd,FALSE
74J303,asd,mrd,FALSE
74J305,asd,mrd,FALSE
74J306,asd,mrd,FALSE
74J308,asd,mrd,FALSE
74J311,asd,mrd,FALSE
74J314,asd,mrd,FALSE
74J324,asd,mrd,FALSE
74J328,asd,mrd,FALSE
74J335_clst,asd,mrd,FALSE
74J335_mtx,asd,mrd,FALSE
74J350,asd,mrd,FALSE
74J354,asd,mrd,FALSE
74J357,asd,mrd,FALSE
74J363,asd,mrd,FALSE
74J365,asd,mrd,FALSE
74J370,asd,mrd,FALSE
74J381,asd,mrd,FALSE
74J386,asd,mrd,FALSE
74J402,asd,mrd,FALSE
74J403,asd,mrd,FALSE
74J405,asd,mrd,FALSE
74J412,asd,mrd,FALSE
74J417,asd,mrd,FALSE
74J420,asd,mrd,FALSE
74J422,asd,mrd,FALSE
74J427,asd,mrd,FALSE
74J430,asd,mrd,FALSE
74J433_clst,asd,mrd,FALSE
74J433_mtx,asd,mrd,FALSE
74J436,asd,mrd,FALSE
74J441,asd,mrd,FALSE
74J444,asd,mrd,FALSE
74J445,asd,mrd,FALSE
74J450,asd,mrd,FALSE
74J457,asd,mrd,FALSE
74J467,asd,mrd,FALSE
74J490,asd,mrd,FALSE
74J494,asd,mrd,FALSE
74J496,asd,mrd,FALSE
74J498,asd,mrd,FALSE
74J500,asd,mrd,FALSE
74J502,asd,mrd,FALSE
74J504,asd,mrd,FALSE
74J505,asd,mrd,FALSE
74J506,asd,mrd,FALSE
74J509,asd,mrd,FALSE
74J517,asd,mrd,FALSE
74J524,asd,mrd,FALSE
74J525,asd,mrd,FALSE
74J526,asd,mrd,FALSE
74J532,asd,mrd,FALSE
74J533,asd,mrd,FALSE
74J536,asd,mrd,FALSE
74J537,asd,mrd,FALSE
74J538,asd,mrd,FALSE
74J539,asd,mrd,FALSE
74J541,asd,mrd,FALSE
74J542,asd,mrd,FALSE
74J544,asd,mrd,FALSE
74J545,asd,mrd,FALSE
74J547_clst,asd,mrd,FALSE
74J547_mtx,asd,mrd,FALSE
74J554,asd,mrd,FALSE
74J555,asd,mrd,FALSE
74J557,asd,mrd,FALSE
74J559,asd,mrd,FALSE
74J560,asd,mrd,FALSE
74J561,asd,mrd,FALSE
74J563,asd,mrd,FALSE
74J565,asd,mrd,FALSE
74J569,asd,mrd,FALSE
74J573_clst,asd,mrd,FALSE
74J573_mtx,asd,mrd,FALSE
74J577,asd,mrd,FALSE
74J578,asd,mrd,FALSE
74J614,asd,mrd,FALSE
74J616,asd,mrd,FALSE
74J620,asd,mrd,FALSE
74J630,asd,mrd,FALSE
74J640_dark,asd,mrd,FALSE
74J640_light,asd,mrd,FALSE
74J648,asd,mrd,FALSE
74J654,asd,mrd,FALSE
74J657,asd,mrd,FALSE
74J658_1,asd,mrd,FALSE
74J658_2,asd,mrd,FALSE
74J664,asd,mrd,FALSE
74J668,asd,mrd,FALSE
74J675,asd,mrd,FALSE
74J676,asd,mrd,FALSE
74J677,asd,mrd,FALSE
74J682,asd,mrd,FALSE
74J685,asd,mrd,FALSE
74J687,asd,mrd,FALSE
74J690,asd,mrd,FALSE
74J698,asd,mrd,FALSE
74J702,asd,mrd,FALSE
74J705,asd,mrd,FALSE
74J708,asd,mrd,FALSE
74J710,asd,mrd,FALSE
74J711,asd,mrd,FALSE
74J712,asd,mrd,FALSE
74J717,asd,mrd,FALSE
74J719,asd,mrd,FALSE
