LithoID,SampleID,Isdrillhol,SiO2_4AES_,TiO2_4AES_,Al2O3_4AES,Fe2O3_4AES,MnO_4AES_p,MgO_4AES_p,CaO_4AES_p,Na2O_4AES_,K2O_4AES_p,P2O5_4AES_,Cr2O3_4AES,TOT_C_4AES,TOT_S_4AES,LOI_4AES_p,Sum_4AES_p,Ba_4AES_pp,Cu_1DXMS_p,Pb_1DXMS_p,Zn_1DXMS_p,Ag_1DXMS_p,Au_1DXMS_p,As_1DXMS_p,Sb_1DXMS_p,Bi_1DXMS_p,Cd_1DXMS_p,Hg_1DXMS_p,Tl_1DXMS_p,Se_1DXMS_p,V_4AES_ppm,Ni_4AES_pp,Ni_1DXMS_p,Co_4AES_pp,Sc_4AES_pp,Rb_4AES_pp,Sr_4AES_pp,Cs_4AES_pp,Sn_4AES_pp,W_4AES_ppm,Mo_1DXMS_p,Ga_4AES_pp,Be_4AES_pp,U_4AES_ppm,Hf_4AES_pp,Ta_4AES_pp,Th_4AES_pp,Nb_4AES_pp,Y_4AES_ppm,Zr_4AES_pp,La_4AES_pp,Ce_4AES_pp,Pr_4AES_pp,Nd_4AES_pp,Sm_4AES_pp,Eu_4AES_pp,Gd_4AES_pp,Tb_4AES_pp,Dy_4AES_pp,Ho_4AES_pp,Er_4AES_pp,Tm_4AES_pp,Yb_4AES_pp,Lu_4AES_pp,Wgt_4AES_k,LABJOBNO,Cat__Al,Cat__Fe_Ti,Cat__Mg,FeO,Cat_Al,Cat_Fe,Cat_Ti,Cat_Mg,MERGE,MERGE_2
610002,92J0782,N,50.3,0.856,13.75,12.23,0.2,6.56,7.56,1.98,0.03,0.066,0.013,0.81,0.04,6.2,99.76,13,99.4,1,98,<0.1,4,1.4,0.1,<0.1,<0.1,<0.01,<0.1,0.5,315,66,59,44.8,48,0.5,125.8,0.1,<1,<0.5,0.1,13.1,<1,0,1.5,0.1,0.2,1.8,19.3,44.7,2.3,6.6,1.08,5.8,1.91,0.71,2.43,0.52,3.28,0.72,2.14,0.32,2.2,0.34,0.81,VAN09004086,45.22636354,27.48120457,27.29243189,11.004554,26.97083227,15.31686385,1.071607411,16.27589629,Mafic A,THOL Mafic A
610192,TI1348,N,42.26,1.251,19.86,12.34,0.1,7.76,10.02,2,0.05,0.021,0.012,0.06,0.04,4.1,99.8,17,24.9,0.2,23,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,403,47,35.8,46.4,35,0.8,156.7,0.2,<1,<0.5,<0.1,16.5,<1,0,0.4,<0.1,0,1.1,9.2,12.1,1.2,3.1,0.44,2.4,0.76,0.62,1.11,0.22,1.6,0.36,1.09,0.17,1.09,0.17,1.49,VAN09005164,51.78238851,22.62503675,25.59257475,11.103532,38.95568937,15.45462795,1.566099149,19.25319439,Mafic A,THOL Mafic A
610391,MT87-02,N,53.33,0.905,14.36,9.86,0.21,5.69,8.25,3.16,0.04,0.059,0.012,0.41,0.1,3.9,99.79,37,117.9,0.4,51,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,302,75,59.8,44.9,44,0,108.2,<0.1,<1,<0.5,0.2,16.3,<1,0,1.7,0.1,0.3,1.8,17.4,48.3,2.4,7.3,1.09,5.8,1.9,0.71,2.61,0.48,3.03,0.64,1.92,0.31,1.97,0.3,0.61,VAN09005164,50.50960703,24.17520009,25.31519288,8.872028,28.16735647,12.34867355,1.132949424,14.11735517,Mafic A,THOL Mafic A
609987,92J0677,N,53.14,0.917,14.53,11.1,0.26,3.88,11.67,0.65,0.91,0.073,0.015,0.32,<0.02,2.7,99.82,89,42.8,2.6,44,0.2,1.1,<0.5,0.3,<0.1,<0.1,<0.01,<0.1,0.7,343,60,33.3,37.9,47,25.7,102.1,0.6,1,0.7,<0.1,14.7,<1,0,1.6,0.2,0.2,2,22.6,53,2.6,7.2,1.24,6.8,2.24,0.79,2.9,0.58,3.65,0.83,2.44,0.37,2.36,0.38,0.49,VAN09004086,53.59609576,28.30098183,18.10292242,9.98778,28.50081403,13.90165075,1.147971958,9.626597196,Mafic A,THOL Mafic A
610388,MNT87-09,N,49.94,1.052,16.66,8.8,0.19,6.29,8.27,3.83,0.42,0.061,0.02,0.34,<0.02,4.2,99.75,193,111.1,0.5,69,<0.1,<0.5,1.1,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,382,101,72,55.7,57,10.7,111.9,0.2,<1,<0.5,<0.1,16.9,<1,0,1.9,<0.1,0,2.1,20.7,54.3,2.8,8.3,1.28,6.3,2.12,0.87,3.09,0.57,3.61,0.8,2.35,0.35,2.21,0.33,0.63,VAN09005164,53.90506647,20.35220015,25.74273338,7.91824,32.67884114,11.02112853,1.316975463,15.60600422,Mafic A,THOL Mafic A
610376,TB09027,N,43.7,1.05,16.48,12.8,0.17,8.82,11.37,1.75,0.03,0.073,0.048,0.03,<0.02,3.4,99.72,6,90.1,0.2,44,<0.1,0.8,16.6,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,302,153,93.9,56.9,41,0.2,172,<0.1,<1,<0.5,0.1,18.7,<1,0,1.5,0.2,0.2,2.9,17.4,52.5,3,8.9,1.35,7,2.23,0.83,2.87,0.54,3.18,0.66,1.96,0.3,1.8,0.28,1.73,VAN09005165,45.17667372,24.24068057,30.58264571,11.51744,32.32576842,16.0307324,1.314471708,21.88314105,Mafic A,THOL Mafic A
609686,73S1110,N,54.91,0.779,12.19,10.86,0.21,5.4,9.04,2.73,0.27,0.053,0.061,0.32,0.05,3.3,99.79,103,103.2,0.5,70,<0.1,<0.5,<0.5,<0.1,<0.1,0.1,<0.01,<0.1,<0.5,260,137,103.3,39.4,38,5.3,57.9,0.2,<1,<0.5,0.2,11.5,<1,0,1.6,0.1,0.3,2.3,17.3,50.1,2.9,7.7,1.14,5.7,1.94,0.62,2.41,0.48,3.04,0.68,2.08,0.31,2.08,0.29,0.66,VAN09004085,46.08435942,28.09345288,25.82218771,9.771828,23.91086876,13.60107452,0.975212819,13.39784146,Mafic A,THOL Mafic A
609552,73J1132,N,46.77,0.955,14.91,13.12,0.19,7.95,10.06,1.98,0.05,0.069,0.044,0.04,0.09,3.6,99.74,25,102.4,0.6,71,<0.1,<0.5,<0.5,<0.1,<0.1,0.1,<0.01,<0.1,<0.5,282,128,92.5,50.2,42,0.7,131.3,0.1,<1,<0.5,0.1,16.8,<1,0,1.7,0.2,0.2,2.4,20.7,52.5,3.3,8.9,1.38,7,2.19,0.78,2.92,0.56,3.4,0.73,2.26,0.33,2.18,0.32,0.78,VAN09004085,43.91462624,26.46789399,29.61747977,11.805376,29.24618976,16.43150071,1.195543315,19.72459993,Mafic A,THOL Mafic A
609741,76J0160,N,47.41,0.94,14.57,15.65,0.2,8.11,5.41,3.8,0.7,0.069,0.024,0.05,0.3,2.8,99.7,95,94,0.7,68,<0.1,0.7,<0.5,<0.1,0.1,<0.1,<0.01,<0.1,0.7,338,87,53.2,60.4,45,12,126.4,0.4,9,<0.5,2.7,16.8,<1,0,1.6,<0.1,0,1.6,20.5,52.3,2.3,6.5,1.04,5.7,2.07,0.59,2.82,0.56,3.38,0.79,2.29,0.35,2.17,0.34,0.58,VAN09004085,41.13446414,29.90433465,28.96120122,14.08187,28.57927463,19.60007516,1.176765148,20.12157301,Mafic A,THOL Mafic A
609564,73J1572,N,47.3,0.98,15.13,14.35,0.18,6.14,11.01,2.08,0.26,0.086,0.029,0.09,0.12,2.2,99.76,43,130.8,0.6,39,<0.1,1.4,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,292,111,49.3,51.3,46,5,124.4,0.1,<1,<0.5,0.2,16.5,<1,0,1.7,0.2,0.3,2.4,20.3,53.9,3,8.6,1.24,6.2,2.01,0.82,2.91,0.57,3.57,0.81,2.46,0.37,2.37,0.36,0.67,VAN09004085,46.29161878,29.9464773,23.76190392,12.91213,29.67772307,17.9719539,1.22684026,15.23384196,Mafic A,THOL Mafic A
